"id","term","sumsq","df","statistic","p.value","Stars","type"
"1 Day","(Intercept)",49.31170641778847,1,552.4185352597453,3.894376070375887e-41,"***","PEPC"
"1 Day","as.numeric(Weight)",1.1266779960467233,1,12.621704935787724,5.983474478389175e-4,"***","PEPC"
"1 Day","LineTime",0.4630707885573866,6,0.8645982374825011,0.5240027777964471,"","PEPC"
"1 Day","as.numeric(Weight):LineTime",0.326345363159092,6,0.6093185594300794,0.722286579553769,"","PEPC"
"1 Day","Residuals",8.390921208124587,94,NA,NA,NA,"PEPC"
"19 Day","(Intercept)",32.85488924717268,1,145.0293081907334,3.148249053460064e-20,"***","PEPC"
"19 Day","as.numeric(Weight)",2.0921787690538274,1,9.235375508481683,0.0031345291808556964,"**","PEPC"
"19 Day","LineTime",0.9635318523176508,6,0.7088765232173682,0.643299536598035,"","PEPC"
"19 Day","as.numeric(Weight):LineTime",0.9234046674204386,6,0.6793546976046341,0.6666543537579062,"","PEPC"
"19 Day","Residuals",19.708949867876832,87,NA,NA,NA,"PEPC"
