"Line","Age","Time","LineTimeAge","SubClass","AcylClass","MEAN","SE","n"
"cbr","1 Day","New","cbr_New_1 Day","PE p","0",0.294812614883602,0.00920561188206901,11
"cbr","1 Day","New","cbr_New_1 Day","PE p","1",0.134200759655173,0.00448370883630253,11
"cbr","1 Day","New","cbr_New_1 Day","PE p","X",0.570986625461224,0.01257679814357,11
"cbr","1 Day","Old","cbr_Old_1 Day","PE p","0",0.294485284426919,0.00799042567309588,18
"cbr","1 Day","Old","cbr_Old_1 Day","PE p","1",0.140892126496892,0.00333182099414923,18
"cbr","1 Day","Old","cbr_Old_1 Day","PE p","X",0.564622589076189,0.00960386389561308,18
"cbr","19 Day","New","cbr_New_19 Day","PE p","0",0.404216601283957,0.0168779269656374,10
"cbr","19 Day","New","cbr_New_19 Day","PE p","1",0.147531744353061,0.0142263289489149,10
"cbr","19 Day","New","cbr_New_19 Day","PE p","X",0.448251654362982,0.0198604731433416,10
"cbr","19 Day","Old","cbr_Old_19 Day","PE p","0",0.422594200386288,0.00814759094608533,15
"cbr","19 Day","Old","cbr_Old_19 Day","PE p","1",0.152299900412736,0.00940208263840809,15
"cbr","19 Day","Old","cbr_Old_19 Day","PE p","X",0.425105899200976,0.013028305823142,15
"ct","1 Day","New","ct_New_1 Day","PE p","0",0.283506446262135,0.0050514298283942,15
"ct","1 Day","New","ct_New_1 Day","PE p","1",0.125568073080589,0.00213964440036686,15
"ct","1 Day","New","ct_New_1 Day","PE p","X",0.590925480657276,0.00605220369867265,15
"ct","1 Day","Old","ct_Old_1 Day","PE p","0",0.307324181471889,0.00746457870314343,17
"ct","1 Day","Old","ct_Old_1 Day","PE p","1",0.125717655879481,0.00259241851208765,17
"ct","1 Day","Old","ct_Old_1 Day","PE p","X",0.56695816264863,0.00816166170165172,17
"ct","19 Day","New","ct_New_19 Day","PE p","0",0.452464929162416,0.0198564134410678,13
"ct","19 Day","New","ct_New_19 Day","PE p","1",0.144666961268895,0.00570645144105953,13
"ct","19 Day","New","ct_New_19 Day","PE p","X",0.402868109568689,0.0223064379573528,13
"ct","19 Day","Old","ct_Old_19 Day","PE p","0",0.449711594234187,0.00804235127124332,16
"ct","19 Day","Old","ct_Old_19 Day","PE p","1",0.157298706425517,0.00779650496019942,16
"ct","19 Day","Old","ct_Old_19 Day","PE p","X",0.392989699340296,0.0102224083057606,16
"s06","1 Day","Older","s06_Older_1 Day","PE p","0",0.300640774076262,0.00770147490138436,16
"s06","1 Day","Older","s06_Older_1 Day","PE p","1",0.128738486139625,0.00271315164881664,16
"s06","1 Day","Older","s06_Older_1 Day","PE p","X",0.570620739784113,0.00905411050661119,16
"s06","19 Day","Older","s06_Older_19 Day","PE p","0",0.451898699149005,0.00663756997467128,16
"s06","19 Day","Older","s06_Older_19 Day","PE p","1",0.138640309329594,0.00368245189747487,16
"s06","19 Day","Older","s06_Older_19 Day","PE p","X",0.409460991521401,0.00890101572762168,16
"syd","1 Day","New","syd_New_1 Day","PE p","0",0.301249259138219,0.0144273627109184,13
"syd","1 Day","New","syd_New_1 Day","PE p","1",0.134078129743059,0.00381749945450725,13
"syd","1 Day","New","syd_New_1 Day","PE p","X",0.564672611118722,0.0154363296454148,13
"syd","1 Day","Old","syd_Old_1 Day","PE p","0",0.299463240080378,0.00784007944387724,18
"syd","1 Day","Old","syd_Old_1 Day","PE p","1",0.129648669023868,0.0038845955956996,18
"syd","1 Day","Old","syd_Old_1 Day","PE p","X",0.570888090895753,0.0087491467283822,18
"syd","19 Day","New","syd_New_19 Day","PE p","0",0.439590755586034,0.00587267739470605,16
"syd","19 Day","New","syd_New_19 Day","PE p","1",0.143377888597622,0.00716283645746259,16
"syd","19 Day","New","syd_New_19 Day","PE p","X",0.417031355816345,0.0116525180953158,16
"syd","19 Day","Old","syd_Old_19 Day","PE p","0",0.449388378814327,0.00543505966812764,15
"syd","19 Day","Old","syd_Old_19 Day","PE p","1",0.153944401567905,0.00633136520055085,15
"syd","19 Day","Old","syd_Old_19 Day","PE p","X",0.396667219617768,0.00714681217012383,15
"cbr","1 Day","New","cbr_New_1 Day","PE e","0",8.56625012386746e-05,8.56625012386746e-05,11
"cbr","1 Day","New","cbr_New_1 Day","PE e","1",0.134276541145874,0.00720755200442762,11
"cbr","1 Day","New","cbr_New_1 Day","PE e","X",0.865637796352887,0.00717641524100514,11
"cbr","1 Day","Old","cbr_Old_1 Day","PE e","0",0.00509627075271875,0.0034833692730235,18
"cbr","1 Day","Old","cbr_Old_1 Day","PE e","1",0.12544164936745,0.00361336495558884,18
"cbr","1 Day","Old","cbr_Old_1 Day","PE e","X",0.869462079879831,0.00525491479018611,18
"cbr","19 Day","New","cbr_New_19 Day","PE e","0",0,0,10
"cbr","19 Day","New","cbr_New_19 Day","PE e","1",0.314558015346551,0.0234747928255285,10
"cbr","19 Day","New","cbr_New_19 Day","PE e","X",0.685441984653449,0.0234747928255285,10
"cbr","19 Day","Old","cbr_Old_19 Day","PE e","0",0,0,15
