"Line","Age","Time","LineTimeAge","SubClass","AcylClass","MEAN","SE","n"
"cbr","1 Day","New","cbr_New_1 Day","PE p","0",1,0,11
"cbr","1 Day","Old","cbr_Old_1 Day","PE p","0",1,0,18
"cbr","19 Day","New","cbr_New_19 Day","PE p","0",1,0,10
"cbr","19 Day","Old","cbr_Old_19 Day","PE p","0",1,0,15
"ct","1 Day","New","ct_New_1 Day","PE p","0",1,0,15
"ct","1 Day","Old","ct_Old_1 Day","PE p","0",1,0,17
"ct","19 Day","New","ct_New_19 Day","PE p","0",1,0,13
"ct","19 Day","Old","ct_Old_19 Day","PE p","0",1,0,16
"s06","1 Day","Older","s06_Older_1 Day","PE p","0",1,0,16
"s06","19 Day","Older","s06_Older_19 Day","PE p","0",1,0,16
"syd","1 Day","New","syd_New_1 Day","PE p","0",1,0,13
"syd","1 Day","Old","syd_Old_1 Day","PE p","0",1,0,18
"syd","19 Day","New","syd_New_19 Day","PE p","0",1,0,16
"syd","19 Day","Old","syd_Old_19 Day","PE p","0",1,0,15
"cbr","1 Day","New","cbr_New_1 Day","PE e","0",0.923437635899199,0.00560281622992856,11
"cbr","1 Day","New","cbr_New_1 Day","PE e","1",0.0764767015995626,0.00562698178474534,11
"cbr","1 Day","New","cbr_New_1 Day","PE e","X",8.56625012386746e-05,8.56625012386746e-05,11
"cbr","1 Day","Old","cbr_Old_1 Day","PE e","0",0.92518094874982,0.00472747977189106,18
"cbr","1 Day","Old","cbr_Old_1 Day","PE e","1",0.0697227804974608,0.00270149904326787,18
"cbr","1 Day","Old","cbr_Old_1 Day","PE e","X",0.00509627075271875,0.0034833692730235,18
"cbr","19 Day","New","cbr_New_19 Day","PE e","0",0.795776157187053,0.0198266723636415,10
"cbr","19 Day","New","cbr_New_19 Day","PE e","1",0.204223842812947,0.0198266723636415,10
"cbr","19 Day","New","cbr_New_19 Day","PE e","X",0,0,10
"cbr","19 Day","Old","cbr_Old_19 Day","PE e","0",0.790266487856313,0.0101111565025052,15
"cbr","19 Day","Old","cbr_Old_19 Day","PE e","1",0.209733512143687,0.0101111565025052,15
"cbr","19 Day","Old","cbr_Old_19 Day","PE e","X",0,0,15
"ct","1 Day","New","ct_New_1 Day","PE e","0",0.935281479626693,0.00232845097656125,15
"ct","1 Day","New","ct_New_1 Day","PE e","1",0.0646674388752738,0.00231414202191197,15
"ct","1 Day","New","ct_New_1 Day","PE e","X",5.10814980330008e-05,5.10814980330008e-05,15
"ct","1 Day","Old","ct_Old_1 Day","PE e","0",0.94135086273951,0.00444726398400083,17
"ct","1 Day","Old","ct_Old_1 Day","PE e","1",0.058550147868926,0.00444169312392846,17
"ct","1 Day","Old","ct_Old_1 Day","PE e","X",9.89893915635858e-05,5.67270890522694e-05,17
"ct","19 Day","New","ct_New_19 Day","PE e","0",0.791388952635247,0.0122266302369094,13
