"Line","Age","Time","LineTimeAge","SubClass","AcylClass","MEAN","SE","n"
"cbr","1 Day","New","cbr_New_1 Day","TG","L",0.0586787008465118,0.00763387024211011,11
"cbr","1 Day","New","cbr_New_1 Day","TG","M",0.777410908396399,0.016357353872121,11
"cbr","1 Day","New","cbr_New_1 Day","TG","S",0.163910390757089,0.014813343531134,11
"cbr","1 Day","Old","cbr_Old_1 Day","TG","L",0.0396066993167529,0.0032944836780045,18
"cbr","1 Day","Old","cbr_Old_1 Day","TG","M",0.798547474062742,0.00969958205731574,18
"cbr","1 Day","Old","cbr_Old_1 Day","TG","S",0.161845826620505,0.00919394932251137,18
"cbr","19 Day","New","cbr_New_19 Day","TG","L",0.0371500660600939,0.0128594685220026,10
"cbr","19 Day","New","cbr_New_19 Day","TG","M",0.886323444692206,0.0130341454162902,10
"cbr","19 Day","New","cbr_New_19 Day","TG","S",0.0765264892476996,0.00641473785970605,10
"cbr","19 Day","Old","cbr_Old_19 Day","TG","L",0.0232587799629387,0.00322613905886471,15
"cbr","19 Day","Old","cbr_Old_19 Day","TG","M",0.892081437143003,0.00680034485638405,15
"cbr","19 Day","Old","cbr_Old_19 Day","TG","S",0.0846597828940581,0.00723137379749383,15
"ct","1 Day","New","ct_New_1 Day","TG","L",0.0471599463014961,0.00703219016905082,15
"ct","1 Day","New","ct_New_1 Day","TG","M",0.819944634631587,0.0120659644848403,15
"ct","1 Day","New","ct_New_1 Day","TG","S",0.132895419066917,0.00931475941648138,15
"ct","1 Day","Old","ct_Old_1 Day","TG","L",0.0532928269117476,0.00351930433957451,17
"ct","1 Day","Old","ct_Old_1 Day","TG","M",0.807398352669655,0.00914428911915026,17
"ct","1 Day","Old","ct_Old_1 Day","TG","S",0.139308820418598,0.00789618278502748,17
"ct","19 Day","New","ct_New_19 Day","TG","L",0.0242990360650074,0.0028681549179644,13
"ct","19 Day","New","ct_New_19 Day","TG","M",0.886310816659994,0.014134886150994,13
"ct","19 Day","New","ct_New_19 Day","TG","S",0.089390147274999,0.013238666193273,13
"ct","19 Day","Old","ct_Old_19 Day","TG","L",0.0226080120334591,0.00273906398083337,16
"ct","19 Day","Old","ct_Old_19 Day","TG","M",0.899724913804853,0.00603205770239109,16
"ct","19 Day","Old","ct_Old_19 Day","TG","S",0.0776670741616875,0.00556233682982706,16
"s06","1 Day","Older","s06_Older_1 Day","TG","L",0.0471621039020944,0.0051271204346738,16
"s06","1 Day","Older","s06_Older_1 Day","TG","M",0.828272752846767,0.016021199250715,16
"s06","1 Day","Older","s06_Older_1 Day","TG","S",0.124565143251138,0.0128440322518302,16
"s06","19 Day","Older","s06_Older_19 Day","TG","L",0.0290483002124564,0.00324736277185225,16
"s06","19 Day","Older","s06_Older_19 Day","TG","M",0.881816567604879,0.00685221937043997,16
"s06","19 Day","Older","s06_Older_19 Day","TG","S",0.089135132182665,0.00598034799104117,16
"syd","1 Day","New","syd_New_1 Day","TG","L",0.0527186890904892,0.00712737508656082,13
"syd","1 Day","New","syd_New_1 Day","TG","M",0.735703714853366,0.0216505461889911,13
"syd","1 Day","New","syd_New_1 Day","TG","S",0.211577596056145,0.0205457879969512,13
"syd","1 Day","Old","syd_Old_1 Day","TG","L",0.0557880804852909,0.00779728262361187,18
"syd","1 Day","Old","syd_Old_1 Day","TG","M",0.772434850488968,0.0193153659088707,18
"syd","1 Day","Old","syd_Old_1 Day","TG","S",0.171777069025742,0.0138775332617189,18
"syd","19 Day","New","syd_New_19 Day","TG","L",0.0199132422228423,0.00229586488037679,16
"syd","19 Day","New","syd_New_19 Day","TG","M",0.894670615093547,0.00675406355059177,16
"syd","19 Day","New","syd_New_19 Day","TG","S",0.0854161426836105,0.00691302541563968,16
"syd","19 Day","Old","syd_Old_19 Day","TG","L",0.0231779985396659,0.0023030616881081,15
"syd","19 Day","Old","syd_Old_19 Day","TG","M",0.907879602010228,0.00361874619285439,15
"syd","19 Day","Old","syd_Old_19 Day","TG","S",0.0689423994501061,0.00277831028605138,15
"cbr","1 Day","New","cbr_New_1 Day","PC","L",0.00116784530393322,0.000370868322558372,11
"cbr","1 Day","New","cbr_New_1 Day","PC","M",0.989465912729701,0.000927811259210376,11
"cbr","1 Day","New","cbr_New_1 Day","PC","S",0.00936624196636588,0.000594287727427872,11
"cbr","1 Day","Old","cbr_Old_1 Day","PC","L",0.00109953203342632,0.000113569549851145,18
"cbr","1 Day","Old","cbr_Old_1 Day","PC","M",0.988483544921957,0.000465257432567678,18
"cbr","1 Day","Old","cbr_Old_1 Day","PC","S",0.0104169230446169,0.000362159877854339,18
"cbr","19 Day","New","cbr_New_19 Day","PC","L",0.0034161473215046,0.00109197668927176,10
"cbr","19 Day","New","cbr_New_19 Day","PC","M",0.984482576988799,0.00199179774951616,10
"cbr","19 Day","New","cbr_New_19 Day","PC","S",0.0121012756896959,0.000930462332890998,10
"cbr","19 Day","Old","cbr_Old_19 Day","PC","L",0.00580255458446516,0.00129410164052227,15
"cbr","19 Day","Old","cbr_Old_19 Day","PC","M",0.978743202766182,0.00251200161692397,15
"cbr","19 Day","Old","cbr_Old_19 Day","PC","S",0.0154542426493529,0.00128725751074155,15
"ct","1 Day","New","ct_New_1 Day","PC","L",0.000682231462511699,5.80637897940362e-05,15
"ct","1 Day","New","ct_New_1 Day","PC","M",0.989615777831681,0.000355156833926491,15
"ct","1 Day","New","ct_New_1 Day","PC","S",0.00970199070580726,0.000309907277187162,15
"ct","1 Day","Old","ct_Old_1 Day","PC","L",0.000844504077978343,5.8628380299314e-05,17
"ct","1 Day","Old","ct_Old_1 Day","PC","M",0.990035496702368,0.000309268810832071,17
"ct","1 Day","Old","ct_Old_1 Day","PC","S",0.00911999921965322,0.00027621931128161,17
"ct","19 Day","New","ct_New_19 Day","PC","L",0.00710856192405743,0.00183683620270895,13
"ct","19 Day","New","ct_New_19 Day","PC","M",0.977448380416917,0.0039024226516982,13
"ct","19 Day","New","ct_New_19 Day","PC","S",0.0154430576590252,0.00215994973930168,13
"ct","19 Day","Old","ct_Old_19 Day","PC","L",0.00579786208765547,0.000684657058547473,16
"ct","19 Day","Old","ct_Old_19 Day","PC","M",0.982658881020817,0.00108613165154416,16
"ct","19 Day","Old","ct_Old_19 Day","PC","S",0.0115432568915277,0.000558887466803754,16
"s06","1 Day","Older","s06_Older_1 Day","PC","L",0.00120264018879179,9.93278817012561e-05,16
"s06","1 Day","Older","s06_Older_1 Day","PC","M",0.988176769755741,0.000361994750602938,16
"s06","1 Day","Older","s06_Older_1 Day","PC","S",0.0106205900554671,0.000269393756399337,16
"s06","19 Day","Older","s06_Older_19 Day","PC","L",0.00568676973394557,0.000675842253635509,16
"s06","19 Day","Older","s06_Older_19 Day","PC","M",0.980087520017587,0.00111436698864503,16
"s06","19 Day","Older","s06_Older_19 Day","PC","S",0.0142257102484678,0.000577288515428528,16
"syd","1 Day","New","syd_New_1 Day","PC","L",0.00119004743741564,0.000551994477692422,13
"syd","1 Day","New","syd_New_1 Day","PC","M",0.989548329225523,0.000715701912130632,13
"syd","1 Day","New","syd_New_1 Day","PC","S",0.00926162333706095,0.000342485647333487,13
"syd","1 Day","Old","syd_Old_1 Day","PC","L",0.000939562623567836,0.000103502317319437,18
"syd","1 Day","Old","syd_Old_1 Day","PC","M",0.989616831436649,0.000308753576758923,18
"syd","1 Day","Old","syd_Old_1 Day","PC","S",0.00944360593978264,0.000250262015942591,18
"syd","19 Day","New","syd_New_19 Day","PC","L",0.00587637871893546,0.000779455314614312,16
"syd","19 Day","New","syd_New_19 Day","PC","M",0.981713282494588,0.000958788012648221,16
"syd","19 Day","New","syd_New_19 Day","PC","S",0.0124103387864762,0.000469205956608715,16
"syd","19 Day","Old","syd_Old_19 Day","PC","L",0.00645627492540384,0.00109148849864595,15
"syd","19 Day","Old","syd_Old_19 Day","PC","M",0.980885247376898,0.001765549996674,15
"syd","19 Day","Old","syd_Old_19 Day","PC","S",0.0126584776976983,0.00082008088871536,15
"cbr","1 Day","New","cbr_New_1 Day","PE","L",0.0027531119337913,9.66657872520454e-05,11
"cbr","1 Day","New","cbr_New_1 Day","PE","M",0.996525232908243,7.43624823310928e-05,11
"cbr","1 Day","New","cbr_New_1 Day","PE","S",0.000721655157965472,5.66412843611773e-05,11
"cbr","1 Day","Old","cbr_Old_1 Day","PE","L",0.00303491416114658,9.96334924767614e-05,18
"cbr","1 Day","Old","cbr_Old_1 Day","PE","M",0.996132426226103,7.12518805850292e-05,18
"cbr","1 Day","Old","cbr_Old_1 Day","PE","S",0.000832659612749936,5.19284543607632e-05,18
"cbr","19 Day","New","cbr_New_19 Day","PE","L",0.0406505083309858,0.0127475069555353,10
"cbr","19 Day","New","cbr_New_19 Day","PE","M",0.956121285925769,0.0136971154751393,10
"cbr","19 Day","New","cbr_New_19 Day","PE","S",0.003228205743245,0.00120634659052862,10
"cbr","19 Day","Old","cbr_Old_19 Day","PE","L",0.0307282780813127,0.00972473216293763,15
"cbr","19 Day","Old","cbr_Old_19 Day","PE","M",0.968364685003237,0.00994743433198848,15
"cbr","19 Day","Old","cbr_Old_19 Day","PE","S",0.000907036915450474,0.000418324050844451,15
"ct","1 Day","New","ct_New_1 Day","PE","L",0.00252025053778009,9.31167480853244e-05,15
"ct","1 Day","New","ct_New_1 Day","PE","M",0.996458927774358,8.78893324801671e-05,15
"ct","1 Day","New","ct_New_1 Day","PE","S",0.00102082168786197,3.93269557168291e-05,15
"ct","1 Day","Old","ct_Old_1 Day","PE","L",0.00276790257317083,0.000164861880551653,17
"ct","1 Day","Old","ct_Old_1 Day","PE","M",0.996556119863846,0.000132402962372341,17
"ct","1 Day","Old","ct_Old_1 Day","PE","S",0.00067597756298291,4.36750669382448e-05,17
"ct","19 Day","New","ct_New_19 Day","PE","L",0.0406161497764199,0.010391372123887,13
"ct","19 Day","New","ct_New_19 Day","PE","M",0.95811322408655,0.0106549383356377,13
"ct","19 Day","New","ct_New_19 Day","PE","S",0.00127062613702999,0.000487063394725484,13
"ct","19 Day","Old","ct_Old_19 Day","PE","L",0.0417898976908851,0.0101904809050307,16
"ct","19 Day","Old","ct_Old_19 Day","PE","M",0.956275331589603,0.0105922055945017,16
"ct","19 Day","Old","ct_Old_19 Day","PE","S",0.00193477071951184,0.000486204592286631,16
"s06","1 Day","Older","s06_Older_1 Day","PE","L",0.00357752589112153,0.000188788075429451,16
"s06","1 Day","Older","s06_Older_1 Day","PE","M",0.995704253835618,0.000173337229430848,16
