"Line","Age","Time","LineTimeAge","SubClass","AcylClass","MEAN","SE","n"
"cbr","1 Day","New","cbr_New_1 Day","PE p","L",0.753580764292073,0.0117296930673825,11
"cbr","1 Day","New","cbr_New_1 Day","PE p","M",0.246419235707927,0.0117296930673825,11
"cbr","1 Day","Old","cbr_Old_1 Day","PE p","L",0.748951743538203,0.00869963361767357,18
"cbr","1 Day","Old","cbr_Old_1 Day","PE p","M",0.251048256461797,0.00869963361767357,18
"cbr","19 Day","New","cbr_New_19 Day","PE p","L",0.808340958809383,0.0189716568671875,10
"cbr","19 Day","New","cbr_New_19 Day","PE p","M",0.191659041190617,0.0189716568671875,10
"cbr","19 Day","Old","cbr_Old_19 Day","PE p","L",0.804147788136793,0.0101666401043491,15
"cbr","19 Day","Old","cbr_Old_19 Day","PE p","M",0.195852211863207,0.0101666401043491,15
"ct","1 Day","New","ct_New_1 Day","PE p","L",0.772218878433629,0.00527218367321108,15
"ct","1 Day","New","ct_New_1 Day","PE p","M",0.227781121566371,0.00527218367321108,15
"ct","1 Day","Old","ct_Old_1 Day","PE p","L",0.774943843107681,0.0086362094716824,17
"ct","1 Day","Old","ct_Old_1 Day","PE p","M",0.225056156892318,0.00863620947168239,17
"ct","19 Day","New","ct_New_19 Day","PE p","L",0.819751026470296,0.00574335749778017,13
"ct","19 Day","New","ct_New_19 Day","PE p","M",0.180248973529704,0.00574335749778017,13
"ct","19 Day","Old","ct_Old_19 Day","PE p","L",0.809268062178858,0.00791293645874703,16
"ct","19 Day","Old","ct_Old_19 Day","PE p","M",0.190731937821142,0.00791293645874703,16
"s06","1 Day","Older","s06_Older_1 Day","PE p","L",0.753303670983179,0.00760932066550288,16
"s06","1 Day","Older","s06_Older_1 Day","PE p","M",0.246696329016821,0.00760932066550289,16
"s06","19 Day","Older","s06_Older_19 Day","PE p","L",0.826569169392463,0.00364565248982835,16
"s06","19 Day","Older","s06_Older_19 Day","PE p","M",0.173430830607537,0.00364565248982836,16
"syd","1 Day","New","syd_New_1 Day","PE p","L",0.756434005969695,0.00822646726911627,13
"syd","1 Day","New","syd_New_1 Day","PE p","M",0.243565994030305,0.00822646726911628,13
"syd","1 Day","Old","syd_Old_1 Day","PE p","L",0.766554017783803,0.00806094508112044,18
"syd","1 Day","Old","syd_Old_1 Day","PE p","M",0.233445982216197,0.00806094508112044,18
"syd","19 Day","New","syd_New_19 Day","PE p","L",0.819293025295164,0.00669114992688183,16
"syd","19 Day","New","syd_New_19 Day","PE p","M",0.180706974704836,0.00669114992688183,16
"syd","19 Day","Old","syd_Old_19 Day","PE p","L",0.809787502168786,0.0064111306509297,15
"syd","19 Day","Old","syd_Old_19 Day","PE p","M",0.190212497831214,0.00641113065092971,15
"cbr","1 Day","New","cbr_New_1 Day","PE e","L",0.560855901712502,0.0129364227685534,11
"cbr","1 Day","New","cbr_New_1 Day","PE e","M",0.439144098287498,0.0129364227685534,11
