"Line","Age","Time","LineTimeAge","SubClass","AcylClass","MEAN","SE","n"
"cbr","1 Day","New","cbr_New_1 Day","PE p","M",0.246419235707927,0.0117296930673825,11
"cbr","1 Day","New","cbr_New_1 Day","PE p","S",0.753580764292073,0.0117296930673825,11
"cbr","1 Day","Old","cbr_Old_1 Day","PE p","M",0.251048256461797,0.00869963361767357,18
"cbr","1 Day","Old","cbr_Old_1 Day","PE p","S",0.748951743538203,0.00869963361767357,18
"cbr","19 Day","New","cbr_New_19 Day","PE p","M",0.191659041190617,0.0189716568671875,10
"cbr","19 Day","New","cbr_New_19 Day","PE p","S",0.808340958809383,0.0189716568671875,10
"cbr","19 Day","Old","cbr_Old_19 Day","PE p","M",0.195852211863207,0.0101666401043491,15
"cbr","19 Day","Old","cbr_Old_19 Day","PE p","S",0.804147788136793,0.0101666401043491,15
"ct","1 Day","New","ct_New_1 Day","PE p","M",0.227781121566371,0.00527218367321108,15
"ct","1 Day","New","ct_New_1 Day","PE p","S",0.772218878433629,0.00527218367321108,15
"ct","1 Day","Old","ct_Old_1 Day","PE p","M",0.225056156892318,0.00863620947168239,17
"ct","1 Day","Old","ct_Old_1 Day","PE p","S",0.774943843107681,0.0086362094716824,17
"ct","19 Day","New","ct_New_19 Day","PE p","M",0.180248973529704,0.00574335749778017,13
"ct","19 Day","New","ct_New_19 Day","PE p","S",0.819751026470296,0.00574335749778017,13
"ct","19 Day","Old","ct_Old_19 Day","PE p","M",0.190731937821142,0.00791293645874703,16
"ct","19 Day","Old","ct_Old_19 Day","PE p","S",0.809268062178858,0.00791293645874703,16
"s06","1 Day","Older","s06_Older_1 Day","PE p","M",0.246696329016821,0.00760932066550289,16
"s06","1 Day","Older","s06_Older_1 Day","PE p","S",0.753303670983179,0.00760932066550288,16
"s06","19 Day","Older","s06_Older_19 Day","PE p","M",0.173430830607537,0.00364565248982836,16
"s06","19 Day","Older","s06_Older_19 Day","PE p","S",0.826569169392463,0.00364565248982835,16
"syd","1 Day","New","syd_New_1 Day","PE p","M",0.243565994030305,0.00822646726911628,13
"syd","1 Day","New","syd_New_1 Day","PE p","S",0.756434005969695,0.00822646726911627,13
"syd","1 Day","Old","syd_Old_1 Day","PE p","M",0.233445982216197,0.00806094508112044,18
"syd","1 Day","Old","syd_Old_1 Day","PE p","S",0.766554017783803,0.00806094508112044,18
"syd","19 Day","New","syd_New_19 Day","PE p","M",0.180706974704836,0.00669114992688183,16
"syd","19 Day","New","syd_New_19 Day","PE p","S",0.819293025295164,0.00669114992688183,16
"syd","19 Day","Old","syd_Old_19 Day","PE p","M",0.190212497831214,0.00641113065092971,15
"syd","19 Day","Old","syd_Old_19 Day","PE p","S",0.809787502168786,0.0064111306509297,15
"cbr","1 Day","New","cbr_New_1 Day","PE e","L",0.361076173748794,0.0150424579929161,11
"cbr","1 Day","New","cbr_New_1 Day","PE e","M",0.171085186146202,0.00857508091630633,11
"cbr","1 Day","New","cbr_New_1 Day","PE e","S",0.467838640105004,0.0136429533906592,11
"cbr","1 Day","Old","cbr_Old_1 Day","PE e","L",0.35022920793153,0.0064033616713915,18
"cbr","1 Day","Old","cbr_Old_1 Day","PE e","M",0.148466323091628,0.00923806414287529,18
"cbr","1 Day","Old","cbr_Old_1 Day","PE e","S",0.501304468976841,0.00765638952334303,18
"cbr","19 Day","New","cbr_New_19 Day","PE e","L",0.390608293907769,0.0125390023274275,10
"cbr","19 Day","New","cbr_New_19 Day","PE e","M",0.229058964210461,0.0203097442039315,10
"cbr","19 Day","New","cbr_New_19 Day","PE e","S",0.38033274188177,0.0253888539535446,10
"cbr","19 Day","Old","cbr_Old_19 Day","PE e","L",0.402181463417761,0.011413825106094,15
"cbr","19 Day","Old","cbr_Old_19 Day","PE e","M",0.233587247568175,0.00884909789206622,15
"cbr","19 Day","Old","cbr_Old_19 Day","PE e","S",0.364231289014064,0.0147944195957345,15
"ct","1 Day","New","ct_New_1 Day","PE e","L",0.358120576511407,0.00776959342237562,15
"ct","1 Day","New","ct_New_1 Day","PE e","M",0.156743004772313,0.012461748606792,15
"ct","1 Day","New","ct_New_1 Day","PE e","S",0.48513641871628,0.00918998398240348,15
"ct","1 Day","Old","ct_Old_1 Day","PE e","L",0.36293653478354,0.00749944376338384,17
"ct","1 Day","Old","ct_Old_1 Day","PE e","M",0.132550361129798,0.0119649937856608,17
"ct","1 Day","Old","ct_Old_1 Day","PE e","S",0.504513104086663,0.00926830667386687,17
"ct","19 Day","New","ct_New_19 Day","PE e","L",0.412425760282177,0.0184761338045233,13
"ct","19 Day","New","ct_New_19 Day","PE e","M",0.232413361765037,0.0128890802433598,13
"ct","19 Day","New","ct_New_19 Day","PE e","S",0.355160877952786,0.0220561877082065,13
"ct","19 Day","Old","ct_Old_19 Day","PE e","L",0.398186050072875,0.0118503890479782,16
"ct","19 Day","Old","ct_Old_19 Day","PE e","M",0.245947854331406,0.0119211685930271,16
"ct","19 Day","Old","ct_Old_19 Day","PE e","S",0.35586609559572,0.0127513755785646,16
"s06","1 Day","Older","s06_Older_1 Day","PE e","L",0.361278330607187,0.00810936361688432,16
"s06","1 Day","Older","s06_Older_1 Day","PE e","M",0.141706079260829,0.00668423580651526,16
"s06","1 Day","Older","s06_Older_1 Day","PE e","S",0.497015590131984,0.0113297037171523,16
"s06","19 Day","Older","s06_Older_19 Day","PE e","L",0.403072745730143,0.0130749437326942,16
"s06","19 Day","Older","s06_Older_19 Day","PE e","M",0.235049510787844,0.00859176464265167,16
"s06","19 Day","Older","s06_Older_19 Day","PE e","S",0.361877743482013,0.013561516272224,16
"syd","1 Day","New","syd_New_1 Day","PE e","L",0.35996198939325,0.00755044691301677,13
"syd","1 Day","New","syd_New_1 Day","PE e","M",0.176184862303632,0.0059114740392801,13
"syd","1 Day","New","syd_New_1 Day","PE e","S",0.463853148303119,0.00364064455650986,13
"syd","1 Day","Old","syd_Old_1 Day","PE e","L",0.35533717410343,0.00548806581550675,18
"syd","1 Day","Old","syd_Old_1 Day","PE e","M",0.154548044691244,0.00541597259988765,18
"syd","1 Day","Old","syd_Old_1 Day","PE e","S",0.490114781205326,0.00545686547494137,18
"syd","19 Day","New","syd_New_19 Day","PE e","L",0.410767092566987,0.0106047413872128,16
"syd","19 Day","New","syd_New_19 Day","PE e","M",0.236717289761983,0.00995064743189679,16
"syd","19 Day","New","syd_New_19 Day","PE e","S",0.352515617671029,0.0132365390725267,16
"syd","19 Day","Old","syd_Old_19 Day","PE e","L",0.41994892344173,0.00827452070134118,15
"syd","19 Day","Old","syd_Old_19 Day","PE e","M",0.247818489149803,0.0124042509703327,15
"syd","19 Day","Old","syd_Old_19 Day","PE e","S",0.332232587408467,0.00766743405680451,15
"cbr","1 Day","New","cbr_New_1 Day","PC e","L",1,0,11
"cbr","1 Day","Old","cbr_Old_1 Day","PC e","L",1,0,17
"cbr","19 Day","New","cbr_New_19 Day","PC e","L",1,0,10
"cbr","19 Day","Old","cbr_Old_19 Day","PC e","L",1,0,15
"ct","1 Day","New","ct_New_1 Day","PC e","L",1,0,15
"ct","1 Day","Old","ct_Old_1 Day","PC e","L",1,0,17
"ct","19 Day","New","ct_New_19 Day","PC e","L",1,0,13
"ct","19 Day","Old","ct_Old_19 Day","PC e","L",1,0,16
"s06","1 Day","Older","s06_Older_1 Day","PC e","L",1,0,16
"s06","19 Day","Older","s06_Older_19 Day","PC e","L",1,0,16
"syd","1 Day","New","syd_New_1 Day","PC e","L",1,0,12
"syd","1 Day","Old","syd_Old_1 Day","PC e","L",1,0,18
"syd","19 Day","New","syd_New_19 Day","PC e","L",1,0,16
"syd","19 Day","Old","syd_Old_19 Day","PC e","L",1,0,15
"cbr","1 Day","New","cbr_New_1 Day","TG e","L",0.836440665874776,0.0938663112419387,11
"cbr","1 Day","New","cbr_New_1 Day","TG e","M",0.154802594629311,0.0876029219933885,11
"cbr","1 Day","New","cbr_New_1 Day","TG e","S",0.00875673949591306,0.00875673949591306,11
"cbr","1 Day","Old","cbr_Old_1 Day","TG e","L",0.84163713246079,0.066780781230239,17
"cbr","1 Day","Old","cbr_Old_1 Day","TG e","M",0.136145730415498,0.0672276333056127,17
