"Line","AcylChain","24:2#","24:0#","22:6#","20:4#","20:0#","19:0#","18:3#","18:2#","18:1#","18:0#","17:0#","16:1#","16:0#","14:1#","12:0#","11:3#","10:2#","10:0#"
"s06","1 Day_CL",0,0,4.095,3.385,0,0,12.4157,42.6652,1.725,0,0,26.6539,0.4497,0.7705,0,0,0,0
"s06","1 Day_DG",0,0,0,3.6488,9.2262,0,10.3261,10.8564,13.59,1.8471,0,38.0339,8.8229,0,0,0,0,0
"s06","1 Day_LPC",0,0,0,0,0,0,13.6944,21.5347,29.62,1.9231,0.4805,19.227,11.1943,0.2458,0.1028,0,0,0
"s06","1 Day_PC",0.0756,0,0,0,0,0,12.6971,12.5593,14.6479,1.2531,0.631,20.4354,36.032,0,0,0,0,0
"s06","1 Day_PC e",0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0
"s06","1 Day_PC e_ether",0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0
"s06","1 Day_PE",0,0,0,0,0.3578,0,25.7261,6.2289,28.876,9.3654,0.0798,6.8253,22.4065,0,0,0,0,0
"s06","1 Day_PE e_ether",0,0,0,0,36.1278,0,0,0.0348,0,0.1145,0,6.2906,7.7307,0,49.7016,0,0,0
"s06","1 Day_PE e",49.7016,0,7.7307,0,0,0.0348,14.5856,16.0388,11.9085,0,0,0,0,0,0,0,0,0
"s06","1 Day_PE p_vinylether",0,0,0,0,0,0,0,0,0,24.6696,0,0,0,0,68.1144,0,0,7.216
"s06","1 Day_PE p",45.2663,30.0641,0,0,0,0,8.0427,3.7531,12.7747,0,0,0.0991,0,0,0,0,0,0
"s06","1 Day_PG",10.2744,0,0,0,0,0,19.6274,14.0294,9.319,0,0,5.081,31.3945,0,0,0,10.2744,0
"s06","1 Day_PI",0,0,0,0,0,0,28.996,14.6011,20.4197,8.6445,0,5.289,22.0497,0,0,0,0,0
"s06","1 Day_PS",0,0,0,0,0,0,25.2389,10.3725,50.3448,7.4582,0,0.1875,6.2107,0,0,0,0,0
"s06","1 Day_TG",0,0.1136,0.0145,0.0466,0.4303,2.9008,1.469,8.9807,21.7288,5.5055,0.7761,14.6185,27.4432,0.7289,1.1793,0.5151,0.0164,0.4501
"s06","1 Day_TG e",0,0,0,0,0,4.1016,0,8.3166,48.7356,0,4.1016,7.9774,12.2007,0,0,8.3166,0,0
"s06","1 Day_TG e_ether",0,0,0,0,58.7393,0,8.2031,0,0,10.1744,0,0,0,16.6332,0,0,0,0
"s06","19 Day_CL",0,0,1.5582,3.6003,0,0,7.5195,30.1544,2.2826,0,0,48.0576,0.6049,0.5925,0,0,0,0
"s06","19 Day_DG",0,0,0,9.4948,6.55,0,9.6842,16.0131,17.651,3.7662,0,24.5933,7.0899,0,0,0,0,0
"s06","19 Day_LPC",0,0,0,0.0644,0,0,5.5453,9.3655,37.599,1.2834,0.687,35.9868,6.0464,0.8185,0.263,0,0,0
"s06","19 Day_PC",0.1485,0,0,0.1997,0,0,5.8286,0.8885,24.4646,0.9586,0.4161,40.666,23.5639,0,0,0,0,0
"s06","19 Day_PC e",0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0
"s06","19 Day_PC e_ether",0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0
"s06","19 Day_PE",0,0,0.0109,0,0.2164,0,15.0234,11.6559,27.553,7.328,0.0465,10.9323,23.7917,0,0,0,0,0
"s06","19 Day_PE e_ether",0,0,0,0,40.3073,0,0,0,0,2.9453,0,20.5596,0,0,36.1878,0,0,0
"s06","19 Day_PE e",36.1878,0,0,0,0,0,16.5623,13.4881,33.7618,0,0,0,0,0,0,0,0,0
"s06","19 Day_PE p_vinylether",0,0,0,0,0,0,0,0,0,17.3431,0,0,0,0,68.6148,0,0,14.0421
"s06","19 Day_PE p",37.467,45.1899,0,0,0,0,3.4791,0,13.8617,0,0,0.0023,0,0,0,0,0,0
"s06","19 Day_PG",9.4722,0,0,0,0,0,11.3136,12.1249,9.483,0,0,16.3599,31.7742,0,0,0,9.4722,0
"s06","19 Day_PI",0,0,0,0,0,0,17.7898,16.654,16.6711,11.1289,0,13.7831,23.9731,0,0,0,0,0
"s06","19 Day_PS",0,0,0,0.9558,0,9.2922,16.5951,5.7063,56.1203,5.5613,0,0.2025,4.4737,0,0,0,0,0
"s06","19 Day_TG",0,0.2873,7e-4,0.0198,0.324,0.6922,0.3858,7.7578,22.3889,4.105,0.7885,13.6317,38.0702,0.2947,1.412,0.0138,0.0141,0.8293
"s06","19 Day_TG e",0,0,0,0,0,10.3279,0,0,33.4713,0,10.3279,20.0578,13.3151,0,0,0,0,0
"s06","19 Day_TG e_ether",0,0,0,0,36.9647,0,20.6558,0,0,29.8795,0,0,0,0,0,0,0,0
