"","Name","SubClass","Abundance"
"1","CL(14:0_20:4_16:1_16:1)","CL","(0.080,15)(0.320,16)"
"2","CL(16:1_16:1_16:1_16:1)","CL","(0.070,14)(0.590,16)"
"3","CL(18:1_16:1_16:1_16:1)","CL","(0.060,14)(0.220,16)"
"4","CL(18:1_16:1_16:1_18:1)","CL","(0.040,15)(0.070,16)"
"5","CL(18:1_16:1_18:2_18:2)","CL","(0.100,15)(0.070,16)"
"6","CL(18:2_14:1_22:6_18:2)","CL","(0.040,13)(0.040,16)"
"7","CL(18:2_16:0_16:1_18:2)","CL","(0.060,15)(0.120,16)"
"8","CL(18:2_16:1_16:1_16:1)","CL","(0.140,15)(0.590,16)"
"9","CL(18:2_16:1_16:1_18:2)","CL","(0.220,15)(0.520,16)"
"10","CL(18:2_16:1_18:2_18:2)","CL","(0.260,15)(0.320,16)"
"11","CL(18:2_18:2_16:1_18:1)","CL","(0.000,1)(0.000,0)"
"12","CL(18:2_18:2_18:2_18:2)","CL","(0.190,15)(0.120,16)"
"13","CL(18:3_16:1_14:0_20:4)","CL","(0.100,15)(0.160,16)"
"14","CL(18:3_16:1_14:0_22:6)","CL","(0.150,15)(0.070,16)"
"15","CL(18:3_16:1_16:1_20:4)","CL","(0.320,15)(0.200,16)"
"16","CL(18:3_16:1_18:2_16:1)","CL","(0.220,15)(0.430,16)"
"17","CL(18:3_18:1_18:2_18:2)","CL","(0.000,1)(0.000,0)"
"18","CL(18:3_18:2_14:0_22:6)","CL","(0.310,15)(0.090,16)"
"19","CL(18:3_18:2_14:1_22:6)","CL","(0.040,15)(0.030,16)"
"20","CL(18:3_18:2_16:1_18:2)","CL","(0.390,15)(0.350,16)"
"21","CL(18:3_18:2_18:2_18:2)","CL","(0.360,15)(0.170,16)"
"22","CL(18:4_16:1_14:0_20:4)","CL","(0.010,14)(0.040,16)"
"23","CL(18:4_16:1_16:1_16:1)","CL","(0.010,13)(0.060,16)"
"24","CL(18:4_16:1_16:1_18:1)","CL","(0.000,4)(0.020,13)"
"25","CL(18:4_18:2_16:1_16:1)","CL","(0.020,15)(0.060,16)"
"26","CL(18:4_18:2_16:1_18:2)","CL","(0.020,8)(0.060,16)"
"27","CL(18:4_18:2_16:1_22:6)","CL","(0.060,15)(0.030,16)"
"28","CL(18:4_18:2_18:2_18:2)","CL","(0.410,15)(0.130,16)"
"29","CL(20:5_18:2_16:1_18:2)","CL","(0.020,6)(0.040,16)"
"30","CL(22:6_14:1_16:1_18:2)","CL","(0.030,15)(0.050,16)"
"31","CL(70:11)","CL","(0.020,15)(0.030,16)"
"32","CL(72:12)","CL","(0.140,15)(0.050,16)"
