"Class","SubClass","Category","Day1","Day19"
"NL","DG","S0_S0","   0.00000 ±  0.00000*** (-0.13313)","   0.00000 ±  0.00000*** (-0.17581)"
"NL","DG","S0_M0","   0.00000 ±  0.00000*** (-0.77865)","   0.00000 ±  0.00000*** (-0.91039)"
"NL","DG","S0_M1","   0.00000 ±  0.00000*** (-3.76726)","   0.00000 ±  0.00000*** (-3.54261)"
"NL","DG","S0_MX","   0.00000 ±  0.00000*** (-1.54579)","   0.00000 ±  0.00000*** (-2.15498)"
"NL","DG","S0_L0","   0.00000 ±  0.00000*** (-0.67328)","   0.00000 ±  0.00000*** (-0.54928)"
"NL","DG","S0_LX","  27.40658 ± 10.83693 (7.03125)","   9.56093 ±  1.29507*** (7.50889)"
"NL","DG","M0_M0","   0.00000 ±  0.00000*** (-1.13849)","   0.00000 ±  0.00000*** (-1.17855)"
"NL","DG","M0_M1","   0.07728 ±  0.07335*** (-10.16518)","   0.73610 ±  0.28253 (-2.42051)"
"NL","DG","M0_MX","   4.53254 ±  1.51406 (15.96832)","   2.68136 ±  0.81380 (9.3811)"
"NL","DG","M0_L0","   0.00000 ±  0.00000*** (-1.96887)","   0.00000 ±  0.00000*** (-1.42215)"
"NL","DG","M0_LX","   0.00000 ±  0.00000*** (-0.77865)","   0.00000 ±  0.00000*** (-2.27093)"
"NL","DG","M1_M1","   1.26611 ±  0.19239 (7.09185)","   0.63514 ±  0.17630 (-6.51122)"
"NL","DG","M1_MX","   0.75261 ±  0.22450 (-5.41051)","   1.35576 ±  0.13987 (7.72396)"
"NL","DG","M1_L0","   1.93709 ±  0.27194** (8.92653)","   2.36718 ±  0.27162*** (7.566)"
"NL","DG","M1_LX","   0.00000 ±  0.00000*** (-3.76726)","   1.41820 ±  0.68250 (3.6956)"
"NL","DG","MX_MX","   0.60357 ±  0.52657 (-1.77878)","   0.52993 ±  0.07201*** (-3.10412)"
"NL","DG","MX_L0","   0.00000 ±  0.00000*** (-3.90866)","   0.00000 ±  0.00000*** (-3.36635)"
"NL","DG","MX_LX","   0.00000 ±  0.00000*** (-1.54579)","   0.00000 ±  0.00000*** (-5.37548)"
"NL","DG","L0_L0","   0.00000 ±  0.00000*** (-0.85122)","   0.00000 ±  0.00000*** (-0.42903)"
"NL","DG","L0_LX","   0.00000 ±  0.00000*** (-0.67328)","   0.00000 ±  0.00000*** (-1.37016)"
"NL","DG","LX_LX","   0.00000 ±  0.00000*** (-0.13313)","   0.00000 ±  0.00000*** (-1.09396)"
"NL","TG","S0_S0_S0","   0.00000 ±  0.00000*** (-0.02607)","   0.00000 ±  0.00000*** (-0.05433)"
"NL","TG","S0_S0_S1","  25.35896 ±  7.40783~ (0.5068)","  51.11366 ± 10.95296*** (0.42949)"
"NL","TG","S0_S0_SX","   0.35584 ±  0.07174*** (-0.03446)","   5.47102 ±  2.14708 (0.02898)"
"NL","TG","S0_S0_M0","   0.33523 ±  0.05782*** (-0.27449)","   0.70710 ±  0.07605** (-0.25138)"
"NL","TG","S0_S0_M1","   0.06415 ±  0.02590*** (-0.43292)","   0.18790 ±  0.08924*** (-0.59814)"
"NL","TG","S0_S0_MX","   0.00000 ±  0.00000*** (-0.13858)","   0.00000 ±  0.00000*** (-0.16673)"
"NL","TG","S0_S0_L0","   0.00000 ±  0.00000*** (-0.04676)","   0.00000 ±  0.00000*** (-0.03846)"
"NL","TG","S0_S0_L1","   0.00000 ±  0.00000*** (-0.00311)","   0.00000 ±  0.00000*** (-0.01809)"
"NL","TG","S0_S0_LX","   3.09861 ±  1.20512 (0.01651)","   0.12531 ±  0.05325*** (-0.00129)"
"NL","TG","S0_S1_S1","   0.00000 ±  0.00000*** (-0.00553)","   0.00000 ±  0.00000*** (-0.00045)"
"NL","TG","S0_S1_SX","   0.00000 ±  0.00000*** (-0.02846)","   0.00000 ±  0.00000*** (-0.00068)"
"NL","TG","S0_S1_M0","   0.37732 ±  0.09797*** (-0.13678)","   3.55114 ±  0.89447 (0.23024)"
"NL","TG","S0_S1_M1","   0.09415 ±  0.02033*** (-0.22294)","   1.51035 ±  0.18658 (0.03953)"
"NL","TG","S0_S1_MX","   2.90979 ±  0.61087 (0.1408)","   1.92737 ±  0.63173 (0.01626)"
"NL","TG","S0_S1_L0","   1.48571 ±  0.95861 (0.01208)","  29.97119 ± 11.77950 (0.11717)"
"NL","TG","S0_S1_L1","   0.00000 ±  0.00000*** (-0.00166)","   0.00000 ±  0.00000*** (-0.0019)"
"NL","TG","S0_S1_LX","   0.00000 ±  0.00000*** (-0.00419)","   0.00000 ±  0.00000*** (-0.00016)"
"NL","TG","S0_SX_SX","   2.15313 ±  0.37497 (0.04218)","   5.69543 ±  1.38920~ (0.00121)"
"NL","TG","S0_SX_M0","   0.16197 ±  0.04822*** (-0.47327)","   1.25104 ±  0.68231 (0.01714)"
"NL","TG","S0_SX_M1","   0.00000 ±  0.00000*** (-0.63271)","   0.00000 ±  0.00000*** (-0.05857)"
"NL","TG","S0_SX_MX","   0.01024 ±  0.01024*** (-0.1876)","   0.00000 ±  0.00000*** (-0.01326)"
"NL","TG","S0_SX_L0","   0.00725 ±  0.00725*** (-0.06349)","   0.00000 ±  0.00000*** (-0.00306)"
"NL","TG","S0_SX_L1","   0.00000 ±  0.00000*** (-0.00426)","   0.00000 ±  0.00000*** (-0.00144)"
"NL","TG","S0_SX_LX","  12.87229 ±  2.23090*** (0.12776)"," 181.75578 ± 20.14453*** (0.02126)"
"NL","TG","S0_M0_M0","   0.20565 ±  0.02664*** (-1.73148)","   0.24346 ±  0.02549*** (-3.41856)"
"NL","TG","S0_M0_M1","   1.36755 ±  0.23209 (1.79519)","   1.48455 ±  0.13410* (3.75808)"
"NL","TG","S0_M0_MX","   3.02463 ±  0.32374*** (2.9623)","   2.95174 ±  0.49228** (3.42677)"
"NL","TG","S0_M0_L0","   0.00000 ±  0.00000*** (-0.49369)","   0.00000 ±  0.00000*** (-0.40498)"
"NL","TG","S0_M0_L1","   0.00000 ±  0.00000*** (-0.03289)","   0.00000 ±  0.00000*** (-0.19048)"
"NL","TG","S0_M0_LX","   1.59825 ±  0.45288 (0.0497)","   0.09504 ±  0.02612*** (-0.01409)"
"NL","TG","S0_M1_M1","   1.40469 ±  0.19574 (1.10723)","   0.89922 ±  0.08590 (-0.3354)"
"NL","TG","S0_M1_MX","   0.37850 ±  0.04704*** (-1.01878)","   0.29608 ±  0.03107*** (-1.06065)"
"NL","TG","S0_M1_L0","   0.02130 ±  0.01460*** (-0.54133)","   0.00000 ±  0.00000*** (-0.34755)"
"NL","TG","S0_M1_L1","   0.00000 ±  0.00000*** (-0.03684)","   0.00000 ±  0.00000*** (-0.16347)"
"NL","TG","S0_M1_LX","   0.00000 ±  0.00000*** (-0.09307)","   0.00000 ±  0.00000*** (-0.01337)"
"NL","TG","S0_MX_MX","   3.43937 ±  0.45824*** (0.59894)","   0.60787 ±  0.04505*** (-0.06688)"
"NL","TG","S0_MX_L0","   0.07358 ±  0.01644*** (-0.1535)","   0.01118 ±  0.00305*** (-0.0778)"
"NL","TG","S0_MX_L1","   0.00000 ±  0.00000*** (-0.01104)","   0.00000 ±  0.00000*** (-0.03701)"
"NL","TG","S0_MX_LX","   0.00000 ±  0.00000*** (-0.02788)","   0.00000 ±  0.00000*** (-0.00303)"
"NL","TG","S0_L0_L0","   0.00000 ±  0.00000*** (-0.02795)","   0.00000 ±  0.00000*** (-0.00907)"
"NL","TG","S0_L0_L1","   0.00000 ±  0.00000*** (-0.00372)","   0.00000 ±  0.00000*** (-0.00854)"
"NL","TG","S0_L0_LX","   0.00000 ±  0.00000*** (-0.00941)","   0.00000 ±  0.00000*** (-7e-04)"
"NL","TG","S0_L1_L1","   0.00000 ±  0.00000*** (-0.00012)","   0.00000 ±  0.00000*** (-0.00201)"
"NL","TG","S0_L1_LX","   0.00000 ±  0.00000*** (-0.00063)","   0.00000 ±  0.00000*** (-0.00033)"
"NL","TG","S0_LX_LX","   0.00000 ±  0.00000*** (-0.00079)","   0.00000 ±  0.00000*** (-1e-05)"
"NL","TG","S1_S1_S1","   0.00000 ±  0.00000*** (-0.00049)","   0.00000 ±  0.00000*** (-1e-05)"
"NL","TG","S1_S1_SX","   0.00000 ±  0.00000*** (-0.00379)","   0.00000 ±  0.00000*** (-2e-05)"
"NL","TG","S1_S1_M0","   0.00000 ±  0.00000*** (-0.02922)","   0.00000 ±  0.00000*** (-0.00237)"
"NL","TG","S1_S1_M1","   0.00000 ±  0.00000*** (-0.03274)","   0.00000 ±  0.00000*** (-0.00204)"
"NL","TG","S1_S1_MX","   0.00000 ±  0.00000*** (-0.00981)","   0.00000 ±  0.00000*** (-0.00046)"
"NL","TG","S1_S1_L0","   0.00000 ±  0.00000*** (-0.00331)","   0.00000 ±  0.00000*** (-0.00011)"
"NL","TG","S1_S1_L1","   0.00000 ±  0.00000*** (-0.00022)","   0.00000 ±  0.00000*** (-5e-05)"
"NL","TG","S1_S1_LX","   0.00000 ±  0.00000*** (-0.00056)","   0.00000 ±  0.00000*** (0)"
