"Class","SubClass","Category","Day1","Day19"
"NL","DG","SS"," 0.00000 ± 0.00000*** (-0.13313)"," 0.00000 ± 0.00000*** (-0.17581)"
"NL","DG","SM"," 0.00000 ± 0.00000*** (-6.0917)"," 0.00000 ± 0.00000*** (-6.60798)"
"NL","DG","SL"," 7.76704 ± 3.07119~ (6.35797)"," 5.87916 ± 0.79636*** (6.95961)"
"NL","DG","MM"," 1.06554 ± 0.06683 (4.56719)"," 1.06266 ± 0.09041 (3.89065)"
"NL","DG","ML"," 0.85845 ± 0.12051 (-3.0427)"," 0.95623 ± 0.20291 (-1.17332)"
"NL","DG","LL"," 0.00000 ± 0.00000*** (-1.65764)"," 0.00000 ± 0.00000*** (-2.89314)"
"NL","TG","SSS"," 3.23574 ± 0.83619* (0.43213)"," 6.70719 ± 1.26990*** (0.40417)"
"NL","TG","SSM"," 1.60860 ± 0.23782~ (2.34651)"," 0.68046 ± 0.07645*** (-0.67163)"
"NL","TG","SSL"," 2.60334 ± 0.41647*** (0.35199)"," 2.13598 ± 0.70599 (0.07865)"
"NL","TG","SMM"," 0.77971 ± 0.06886** (-5.64765)"," 1.03873 ± 0.07727 (0.80542)"
"NL","TG","SML"," 0.05412 ± 0.01336*** (-2.76153)"," 0.00299 ± 0.00087*** (-1.36583)"
"NL","TG","SLL","21.64245 ± 7.04447* (1.71579)","24.65879 ± 2.39124*** (0.53384)"
"NL","TG","MMM"," 1.10977 ± 0.05317 (6.23768)"," 1.00072 ± 0.02721 (0.04918)"
"NL","TG","MML"," 0.55305 ± 0.03578*** (-4.33829)"," 1.01629 ± 0.12212 (0.11041)"
"NL","TG","MLL"," 4.02856 ± 0.80821*** (1.67385)"," 1.26087 ± 0.16886 (0.05824)"
"NL","TG","LLL"," 0.00000 ± 0.00000*** (-0.01049)"," 0.00000 ± 0.00000*** (-0.00245)"
"PL","CL","SSSS"," 0.00000 ± 0.00000*** (-0.00063)"," 0.00000 ± 0.00000*** (-0.00026)"
"PL","CL","SSSM"," 0.00000 ± 0.00000*** (-0.04403)"," 0.00000 ± 0.00000*** (-0.02372)"
"PL","CL","SSSL"," 0.00000 ± 0.00000*** (-0.00383)"," 0.00000 ± 0.00000*** (-0.0014)"
