"Class","SubClass","Category","Day1","Day19"
"NL","DG","0_1","0.79408 ±0.10567 (-5.00591)","1.08783 ±0.17473 (1.60288)"
"NL","DG","1_1","1.26611 ±0.19239 (7.09185)","0.63514 ±0.17630 (-6.51122)"
"NL","DG","0_0","0.00000 ±0.00000*** (-5.54364)","0.00000 ±0.00000*** (-4.66522)"
"NL","DG","0_X","2.37631 ±0.66008 (16.0932)","1.49475 ±0.25870 (7.72756)"
"NL","DG","1_X","0.64202 ±0.19151 (-9.17777)","1.37382 ±0.15937~ (11.41955)"
"NL","DG","X_X","0.43922 ±0.38319 (-3.45771)","0.26768 ±0.03637*** (-9.57356)"
"NL","TG","0_0_0","0.15327 ±0.01833*** (-7.17952)","0.22559 ±0.02374*** (-11.56106)"
"NL","TG","0_0_1","1.32267 ±0.09840** (7.42426)","1.30175 ±0.09851* (9.73309)"
"NL","TG","0_1_1","1.01225 ±0.09750 (0.25499)","0.99552 ±0.11932 (-0.10406)"
"NL","TG","1_1_1","1.46233 ±0.19757~ (2.901)","1.05923 ±0.14315 (0.33032)"
"NL","TG","0_0_X","1.84638 ±0.25501** (8.0029)","2.30347 ±0.39306** (9.62392)"
"NL","TG","0_1_X","0.35320 ±0.07155*** (-11.06359)","0.71078 ±0.06038*** (-3.07579)"
"NL","TG","1_1_X","0.61138 ±0.08104*** (-3.00632)","0.11588 ±0.01822*** (-3.38583)"
"NL","TG","0_X_X","1.42474 ±0.16492~ (1.49284)","0.30087 ±0.01896*** (-0.85096)"
"NL","TG","1_X_X","1.13808 ±0.17759 (0.43898)","0.23748 ±0.02110*** (-0.66844)"
"NL","TG","X_X_X","2.68652 ±0.61998* (0.73446)","0.38457 ±0.10284*** (-0.04117)"
"PL","CL","1_1_1_1","6.74905 ±0.85826*** (4.15065)","2.65978 ±0.15057*** (11.16962)"
"PL","CL","0_0_0_0","0.00000 ±0.00000*** (-0.00048)","0.00000 ±0.00000*** (-0.00027)"
"PL","CL","0_0_0_1","0.00000 ±0.00000*** (-0.01204)","0.00000 ±0.00000*** (-0.01345)"
"PL","CL","0_0_1_1","0.00000 ±0.00000*** (-0.11224)","0.00000 ±0.00000*** (-0.25427)"
"PL","CL","0_1_1_1","0.00000 ±0.00000*** (-0.46485)","0.00000 ±0.00000*** (-2.13611)"
"PL","CL","0_1_1_X","0.72214 ±0.06586*** (-0.87946)","1.14605 ±0.04660* (0.8274)"
"PL","CL","1_1_1_X","0.65055 ±0.07935*** (-2.29047)","0.57056 ±0.04302*** (-10.219)"
"PL","CL","0_0_0_X","0.00000 ±0.00000*** (-0.02734)","0.00000 ±0.00000*** (-0.01189)"
"PL","CL","0_0_1_X","0.00000 ±0.00000*** (-0.50948)","0.00000 ±0.00000*** (-0.44955)"
"PL","CL","0_1_X_X","1.18614 ±0.06018* (1.33718)","1.55508 ±0.13516*** (2.77987)"
"PL","CL","1_1_X_X","1.09329 ±0.03333* (2.08173)","0.84597 ±0.01640*** (-4.86021)"
"PL","CL","0_0_X_X","0.00000 ±0.00000*** (-0.57816)","0.00000 ±0.00000*** (-0.19871)"
"PL","CL","0_X_X_X","1.46496 ±0.20184 (2.52697)","1.27849 ±0.17275 (0.41097)"
"PL","CL","1_X_X_X","0.66436 ±0.02192*** (-11.33236)","0.92709 ±0.03118 (-1.3559)"
"PL","CL","X_X_X_X","1.31895 ±0.06814*** (6.11036)","2.04904 ±0.13671*** (4.31147)"
"PL","PC","0_0","0.38819 ±0.01506*** (-9.29519)","0.61548 ±0.04256*** (-2.67204)"
"PL","PC","0_1","1.32013 ±0.04203*** (8.84368)","1.06177 ±0.02204* (2.14245)"
"PL","PC","1_1","1.12737 ±0.07220 (1.5994)","1.04025 ±0.02217 (1.74155)"
"PL","PC","0_X","1.48867 ±0.03220*** (9.7467)","1.77290 ±0.07873*** (3.20163)"
"PL","PC","1_X","0.33588 ±0.02361*** (-12.04248)","0.45578 ±0.03319*** (-5.62556)"
"PL","PC","X_X","1.17535 ±0.15553 (1.1479)","2.96329 ±0.17271*** (1.21197)"
"PL","PE","0_0","0.05856 ±0.00428*** (-9.7669)","0.03970 ±0.00186*** (-9.48051)"
"PL","PE","0_1","1.45890 ±0.02835*** (10.57245)","0.92601 ±0.02961* (-1.94593)"
"PL","PE","1_1","0.87770 ±0.03644** (-1.56429)","1.46585 ±0.09651*** (8.15919)"
"PL","PE","0_X","1.43436 ±0.02383*** (8.96134)","2.24470 ±0.05924*** (20.90696)"
"PL","PE","1_X","0.67505 ±0.03329*** (-7.44388)","0.35758 ±0.03047*** (-14.37244)"
"PL","PE","X_X","0.92603 ±0.06938 (-0.75873)","0.54268 ±0.03134*** (-3.26726)"
"PL","PG","0_1","1.50640 ±0.11932*** (4.57865)","1.81370 ±0.05459*** (13.36311)"
"PL","PG","1_1","0.26952 ±0.04212*** (-1.51473)","0.84019 ±0.07065~ (-1.06727)"
"PL","PG","0_0","0.00000 ±0.00000*** (-9.85612)","0.00000 ±0.00000*** (-10.09599)"
"PL","PG","0_X","1.44465 ±0.04655*** (15.13359)","1.25354 ±0.04623*** (6.82888)"
"PL","PG","1_X","0.90076 ±0.05059 (-1.54921)","0.48742 ±0.04026*** (-11.22857)"
"PL","PG","X_X","0.76884 ±0.05424*** (-6.79219)","1.12246 ±0.06855 (2.19984)"
"PL","PI","0_1","1.10747 ±0.07262 (1.69616)","1.43260 ±0.04013*** (9.24911)"
"PL","PI","1_1","0.17905 ±0.01803*** (-5.42596)","0.67257 ±0.02693*** (-3.03677)"
"PL","PI","0_0","0.00000 ±0.00000*** (-9.42136)","0.00000 ±0.00000*** (-12.3215)"
"PL","PI","0_X","1.64067 ±0.05456*** (17.14657)","1.63661 ±0.06156*** (15.39389)"
"PL","PI","1_X","1.40844 ±0.09265*** (9.15577)","0.84863 ±0.07598 (-3.17556)"
