"Line","Age","Time","LineTimeAge","SubClass","AcylClass","MEAN","SE","n"
"cbr","1 Day","New","cbr_New_1 Day","TG","0",0.40356596290286,0.0140845814564552,11
"cbr","1 Day","New","cbr_New_1 Day","TG","1",0.375223353388168,0.0162122994648901,11
"cbr","1 Day","New","cbr_New_1 Day","TG","X",0.221210683708971,0.0170225924680839,11
"cbr","1 Day","Old","cbr_Old_1 Day","TG","0",0.425161218388311,0.0102926299660652,18
"cbr","1 Day","Old","cbr_Old_1 Day","TG","1",0.381758621715145,0.0100923953398351,18
"cbr","1 Day","Old","cbr_Old_1 Day","TG","X",0.193080159896544,0.0119424227817083,18
"cbr","19 Day","New","cbr_New_19 Day","TG","0",0.518290565305903,0.0141980301343481,10
"cbr","19 Day","New","cbr_New_19 Day","TG","1",0.371432598302571,0.0228805051795717,10
"cbr","19 Day","New","cbr_New_19 Day","TG","X",0.110276836391526,0.0170455809873286,10
"cbr","19 Day","Old","cbr_Old_19 Day","TG","0",0.511600452996403,0.0122784172001228,15
"cbr","19 Day","Old","cbr_Old_19 Day","TG","1",0.393036662621565,0.0146122721659168,15
"cbr","19 Day","Old","cbr_Old_19 Day","TG","X",0.0953628843820315,0.00859577623772937,15
"ct","1 Day","New","ct_New_1 Day","TG","0",0.429876967027497,0.0140774546119231,15
"ct","1 Day","New","ct_New_1 Day","TG","1",0.352413115246788,0.0127956048740781,15
"ct","1 Day","New","ct_New_1 Day","TG","X",0.217709917725714,0.0089398869486849,15
"ct","1 Day","Old","ct_Old_1 Day","TG","0",0.419105009412858,0.0116561671089689,17
"ct","1 Day","Old","ct_Old_1 Day","TG","1",0.390247692727214,0.0179590453804218,17
"ct","1 Day","Old","ct_Old_1 Day","TG","X",0.190647297859929,0.0112736965029411,17
"ct","19 Day","New","ct_New_19 Day","TG","0",0.512852492739715,0.0200220848943308,13
"ct","19 Day","New","ct_New_19 Day","TG","1",0.395970205332941,0.0229430106559484,13
"ct","19 Day","New","ct_New_19 Day","TG","X",0.0911773019273441,0.00896162136996481,13
"ct","19 Day","Old","ct_Old_19 Day","TG","0",0.514657408834681,0.00908533289849952,16
"ct","19 Day","Old","ct_Old_19 Day","TG","1",0.39060590224613,0.0141267026738562,16
"ct","19 Day","Old","ct_Old_19 Day","TG","X",0.0947366889191897,0.0125207436686529,16
"s06","1 Day","Older","s06_Older_1 Day","TG","0",0.439322850577185,0.0111393644000317,16
"s06","1 Day","Older","s06_Older_1 Day","TG","1",0.397374853024811,0.013200519535528,16
"s06","1 Day","Older","s06_Older_1 Day","TG","X",0.163302296398004,0.0120035045283864,16
"s06","19 Day","Older","s06_Older_19 Day","TG","0",0.53048897196682,0.0131648497874828,16
"s06","19 Day","Older","s06_Older_19 Day","TG","1",0.382057494898149,0.0184576262107096,16
"s06","19 Day","Older","s06_Older_19 Day","TG","X",0.0874535331350307,0.00955722715809055,16
"syd","1 Day","New","syd_New_1 Day","TG","0",0.389632845332969,0.0172922792158609,13
"syd","1 Day","New","syd_New_1 Day","TG","1",0.353558118310891,0.0169375162218127,13
"syd","1 Day","New","syd_New_1 Day","TG","X",0.25680903635614,0.0181667879598374,13
"syd","1 Day","Old","syd_Old_1 Day","TG","0",0.436876565768751,0.0121002981798271,18
"syd","1 Day","Old","syd_Old_1 Day","TG","1",0.340544840769759,0.0116639553053985,18
"syd","1 Day","Old","syd_Old_1 Day","TG","X",0.22257859346149,0.0120624723281451,18
"syd","19 Day","New","syd_New_19 Day","TG","0",0.504369529367523,0.00890917792812375,16
"syd","19 Day","New","syd_New_19 Day","TG","1",0.412066723795549,0.0126222558473171,16
"syd","19 Day","New","syd_New_19 Day","TG","X",0.0835637468369279,0.0073252015873922,16
"syd","19 Day","Old","syd_Old_19 Day","TG","0",0.527698391450543,0.00920274604669322,15
"syd","19 Day","Old","syd_Old_19 Day","TG","1",0.390816865221783,0.0148567388447989,15
"syd","19 Day","Old","syd_Old_19 Day","TG","X",0.0814847433276743,0.00880526680747233,15
"cbr","1 Day","New","cbr_New_1 Day","PC","0",0.400587529636252,0.00711084421239319,11
"cbr","1 Day","New","cbr_New_1 Day","PC","1",0.297432929090984,0.0304359739377985,11
"cbr","1 Day","New","cbr_New_1 Day","PC","X",0.301979541272764,0.0243281334616192,11
"cbr","1 Day","Old","cbr_Old_1 Day","PC","0",0.406176440483774,0.00242246208231414,18
"cbr","1 Day","Old","cbr_Old_1 Day","PC","1",0.311026752945441,0.0163156391782941,18
"cbr","1 Day","Old","cbr_Old_1 Day","PC","X",0.282796806570785,0.0153579895766613,18
"cbr","19 Day","New","cbr_New_19 Day","PC","0",0.280564084586012,0.00468871488375206,10
"cbr","19 Day","New","cbr_New_19 Day","PC","1",0.625134020795027,0.00973522590555294,10
"cbr","19 Day","New","cbr_New_19 Day","PC","X",0.0943018946189613,0.0060257436439057,10
"cbr","19 Day","Old","cbr_Old_19 Day","PC","0",0.278107219454033,0.00458153035510394,15
"cbr","19 Day","Old","cbr_Old_19 Day","PC","1",0.628355762109742,0.00682240856209204,15
"cbr","19 Day","Old","cbr_Old_19 Day","PC","X",0.0935370184362249,0.00531213079080741,15
"ct","1 Day","New","ct_New_1 Day","PC","0",0.406716077434475,0.00212363357349952,15
"ct","1 Day","New","ct_New_1 Day","PC","1",0.245150867227787,0.00881539496614139,15
"ct","1 Day","New","ct_New_1 Day","PC","X",0.348133055337738,0.00941116588031484,15
"ct","1 Day","Old","ct_Old_1 Day","PC","0",0.395978111384639,0.00245764584558514,17
"ct","1 Day","Old","ct_Old_1 Day","PC","1",0.322836504679388,0.016107212854107,17
"ct","1 Day","Old","ct_Old_1 Day","PC","X",0.281185383935973,0.0159793089564126,17
"ct","19 Day","New","ct_New_19 Day","PC","0",0.27581394392408,0.00477934413901075,13
"ct","19 Day","New","ct_New_19 Day","PC","1",0.639318303601838,0.011133699364557,13
"ct","19 Day","New","ct_New_19 Day","PC","X",0.0848677524740821,0.00797173886740288,13
"ct","19 Day","Old","ct_Old_19 Day","PC","0",0.275234220306817,0.00465365109720381,16
"ct","19 Day","Old","ct_Old_19 Day","PC","1",0.654565665522383,0.00789635891213522,16
"ct","19 Day","Old","ct_Old_19 Day","PC","X",0.0702001141707998,0.00388307727879716,16
"s06","1 Day","Older","s06_Older_1 Day","PC","0",0.389781357918676,0.00288685139954024,16
"s06","1 Day","Older","s06_Older_1 Day","PC","1",0.354364530629631,0.0125948700386474,16
"s06","1 Day","Older","s06_Older_1 Day","PC","X",0.255854111451694,0.0145674091544824,16
"s06","19 Day","Older","s06_Older_19 Day","PC","0",0.263611580803694,0.0042616148804077,16
"s06","19 Day","Older","s06_Older_19 Day","PC","1",0.657819169317593,0.00651821878841451,16
"s06","19 Day","Older","s06_Older_19 Day","PC","X",0.0785692498787132,0.0032811161745565,16
"syd","1 Day","New","syd_New_1 Day","PC","0",0.401599426614957,0.00722583864163961,13
"syd","1 Day","New","syd_New_1 Day","PC","1",0.310844992636142,0.0284583275313946,13
"syd","1 Day","New","syd_New_1 Day","PC","X",0.287555580748901,0.0222867591407101,13
"syd","1 Day","Old","syd_Old_1 Day","PC","0",0.405233914592043,0.0026144090306366,18
"syd","1 Day","Old","syd_Old_1 Day","PC","1",0.309363683778921,0.0111970013436006,18
"syd","1 Day","Old","syd_Old_1 Day","PC","X",0.285402401629036,0.011203589996622,18
"syd","19 Day","New","syd_New_19 Day","PC","0",0.279067826861743,0.00553059325425459,16
"syd","19 Day","New","syd_New_19 Day","PC","1",0.640024800094804,0.00973173718344585,16
"syd","19 Day","New","syd_New_19 Day","PC","X",0.0809073730434537,0.00482601088082246,16
"syd","19 Day","Old","syd_Old_19 Day","PC","0",0.288305458051961,0.00409516279305955,15
"syd","19 Day","Old","syd_Old_19 Day","PC","1",0.629662205208867,0.00643189620789287,15
"syd","19 Day","Old","syd_Old_19 Day","PC","X",0.0820323367391723,0.00397587596055557,15
"cbr","1 Day","New","cbr_New_1 Day","PE","0",0.303127521551979,0.00605391701928515,11
"cbr","1 Day","New","cbr_New_1 Day","PE","1",0.345089303329785,0.00649938192099487,11
"cbr","1 Day","New","cbr_New_1 Day","PE","X",0.351783175118236,0.0113622455682582,11
"cbr","1 Day","Old","cbr_Old_1 Day","PE","0",0.314437570423163,0.00334923406678672,18
"cbr","1 Day","Old","cbr_Old_1 Day","PE","1",0.355297242749561,0.00496346421058189,18
"cbr","1 Day","Old","cbr_Old_1 Day","PE","X",0.330265186827275,0.00787766211933069,18
"cbr","19 Day","New","cbr_New_19 Day","PE","0",0.305637570334863,0.00811423621971245,10
"cbr","19 Day","New","cbr_New_19 Day","PE","1",0.402996596838822,0.0156427360865424,10
"cbr","19 Day","New","cbr_New_19 Day","PE","X",0.291365832826315,0.00959836476357778,10
"cbr","19 Day","Old","cbr_Old_19 Day","PE","0",0.306136569034266,0.00561738855518642,15
"cbr","19 Day","Old","cbr_Old_19 Day","PE","1",0.410469126667031,0.0127739045643233,15
"cbr","19 Day","Old","cbr_Old_19 Day","PE","X",0.283394304298703,0.00957079917840467,15
"ct","1 Day","New","ct_New_1 Day","PE","0",0.291555307972201,0.00267810651061207,15
"ct","1 Day","New","ct_New_1 Day","PE","1",0.3351246647565,0.00295509884744526,15
"ct","1 Day","New","ct_New_1 Day","PE","X",0.373320027271299,0.00496530613095986,15
"ct","1 Day","Old","ct_Old_1 Day","PE","0",0.313671603382912,0.00529415793713614,17
"ct","1 Day","Old","ct_Old_1 Day","PE","1",0.346655716789684,0.00489280680699936,17
"ct","1 Day","Old","ct_Old_1 Day","PE","X",0.339672679827404,0.00975841688228749,17
"ct","19 Day","New","ct_New_19 Day","PE","0",0.297764680340791,0.00885141957998406,13
"ct","19 Day","New","ct_New_19 Day","PE","1",0.419307076861408,0.0137084028410132,13
"ct","19 Day","New","ct_New_19 Day","PE","X",0.282928242797801,0.00922477320789122,13
"ct","19 Day","Old","ct_Old_19 Day","PE","0",0.312216787935425,0.00769738044304582,16
"ct","19 Day","Old","ct_Old_19 Day","PE","1",0.424499210314236,0.013022256500443,16
"ct","19 Day","Old","ct_Old_19 Day","PE","X",0.263284001750339,0.00650056285731107,16
"s06","1 Day","Older","s06_Older_1 Day","PE","0",0.322093954543889,0.00517965847614325,16
"s06","1 Day","Older","s06_Older_1 Day","PE","1",0.357638046277173,0.00402995573606393,16
"s06","1 Day","Older","s06_Older_1 Day","PE","X",0.320267999178938,0.00890959091405966,16
"s06","19 Day","Older","s06_Older_19 Day","PE","0",0.314205266440814,0.00769812511717717,16
"s06","19 Day","Older","s06_Older_19 Day","PE","1",0.418504823771425,0.0125993269595266,16
"s06","19 Day","Older","s06_Older_19 Day","PE","X",0.267289909787761,0.00622349109864169,16
"syd","1 Day","New","syd_New_1 Day","PE","0",0.305741866634146,0.006349229902702,13
"syd","1 Day","New","syd_New_1 Day","PE","1",0.349640279097541,0.00572647677824898,13
"syd","1 Day","New","syd_New_1 Day","PE","X",0.344617854268313,0.011278724468197,13
"syd","1 Day","Old","syd_Old_1 Day","PE","0",0.316280081557597,0.00438885576340565,18
"syd","1 Day","Old","syd_Old_1 Day","PE","1",0.344925446827677,0.00401298586970345,18
"syd","1 Day","Old","syd_Old_1 Day","PE","X",0.338794471614726,0.00800427173467013,18
"syd","19 Day","New","syd_New_19 Day","PE","0",0.299527899089568,0.00717122965527603,16
"syd","19 Day","New","syd_New_19 Day","PE","1",0.426445129954475,0.0124538492550353,16
"syd","19 Day","New","syd_New_19 Day","PE","X",0.274026970955957,0.00794064929320521,16
"syd","19 Day","Old","syd_Old_19 Day","PE","0",0.308902825114067,0.00740150870701007,15
"syd","19 Day","Old","syd_Old_19 Day","PE","1",0.418576548792703,0.0143117437152732,15
"syd","19 Day","Old","syd_Old_19 Day","PE","X",0.272520626093231,0.00833763643532956,15
"cbr","1 Day","New","cbr_New_1 Day","CL","0",0.0541250653513049,0.00399209174814751,11
"cbr","1 Day","New","cbr_New_1 Day","CL","1",0.249585614093859,0.0267422234604012,11
"cbr","1 Day","New","cbr_New_1 Day","CL","X",0.696289320554836,0.0235553265234357,11
"cbr","1 Day","Old","cbr_Old_1 Day","CL","0",0.0493405659078216,0.0032295366131653,18
"cbr","1 Day","Old","cbr_Old_1 Day","CL","1",0.253309474144343,0.0175317264107222,18
"cbr","1 Day","Old","cbr_Old_1 Day","CL","X",0.697349959947836,0.0149374477340134,18
"cbr","19 Day","New","cbr_New_19 Day","CL","0",0.0445042823197964,0.00329887452719485,10
"cbr","19 Day","New","cbr_New_19 Day","CL","1",0.432391890947137,0.0159996558579669,10
"cbr","19 Day","New","cbr_New_19 Day","CL","X",0.523103826733067,0.0159550904283065,10
"cbr","19 Day","Old","cbr_Old_19 Day","CL","0",0.0482853698817779,0.00255653960608017,15
"cbr","19 Day","Old","cbr_Old_19 Day","CL","1",0.458554404097207,0.0191333989571368,15
"cbr","19 Day","Old","cbr_Old_19 Day","CL","X",0.493160226021015,0.0174350801180756,15
"ct","1 Day","New","ct_New_1 Day","CL","0",0.0731137852050141,0.00267836915278809,15
"ct","1 Day","New","ct_New_1 Day","CL","1",0.181289573570864,0.00877080168850275,15
"ct","1 Day","New","ct_New_1 Day","CL","X",0.745596641224122,0.00662210292391078,15
"ct","1 Day","Old","ct_Old_1 Day","CL","0",0.0504387435536611,0.0034546664060855,17
"ct","1 Day","Old","ct_Old_1 Day","CL","1",0.280015345096129,0.0235589911065009,17
"ct","1 Day","Old","ct_Old_1 Day","CL","X",0.66954591135021,0.0210749452182014,17
"ct","19 Day","New","ct_New_19 Day","CL","0",0.052049442018459,0.0038124263025033,13
"ct","19 Day","New","ct_New_19 Day","CL","1",0.484413729808773,0.0337287190501003,13
"ct","19 Day","New","ct_New_19 Day","CL","X",0.463536828172768,0.0309786666693325,13
"ct","19 Day","Old","ct_Old_19 Day","CL","0",0.0467071631902211,0.00259245859985866,16
"ct","19 Day","Old","ct_Old_19 Day","CL","1",0.541819002323371,0.0145361179915818,16
"ct","19 Day","Old","ct_Old_19 Day","CL","X",0.411473834486408,0.0132438508678008,16
"s06","1 Day","Older","s06_Older_1 Day","CL","0",0.0469206625547589,0.00311451979312308,16
"s06","1 Day","Older","s06_Older_1 Day","CL","1",0.291494181577073,0.0150967197411412,16
"s06","1 Day","Older","s06_Older_1 Day","CL","X",0.661585155868168,0.0125838541088809,16
"s06","19 Day","Older","s06_Older_19 Day","CL","0",0.040417723490536,0.00255647705522169,16
"s06","19 Day","Older","s06_Older_19 Day","CL","1",0.509327503165942,0.0130285384152271,16
"s06","19 Day","Older","s06_Older_19 Day","CL","X",0.450254773343522,0.0115312778057979,16
"syd","1 Day","New","syd_New_1 Day","CL","0",0.0614584730111538,0.00333378121655039,13
"syd","1 Day","New","syd_New_1 Day","CL","1",0.254126431141577,0.0311779440608359,13
"syd","1 Day","New","syd_New_1 Day","CL","X",0.684415095847269,0.0282287968697603,13
"syd","1 Day","Old","syd_Old_1 Day","CL","0",0.0513536966652581,0.00254482263892085,18
"syd","1 Day","Old","syd_Old_1 Day","CL","1",0.245225048298387,0.0163924761060512,18
