"Line","Age","Time","LineTimeAge","SubClass","AcylClass","MEAN","SE","n"
"cbr","1 Day","New","cbr_New_1 Day","PE p","0",0.647406307441801,0.0046028059410345,11
"cbr","1 Day","New","cbr_New_1 Day","PE p","1",0.0671003798275867,0.00224185441815127,11
"cbr","1 Day","New","cbr_New_1 Day","PE p","X",0.285493312730612,0.00628839907178502,11
"cbr","1 Day","Old","cbr_Old_1 Day","PE p","0",0.64724264221346,0.00399521283654794,18
"cbr","1 Day","Old","cbr_Old_1 Day","PE p","1",0.0704460632484462,0.00166591049707462,18
"cbr","1 Day","Old","cbr_Old_1 Day","PE p","X",0.282311294538094,0.00480193194780654,18
"cbr","19 Day","New","cbr_New_19 Day","PE p","0",0.702108300641978,0.00843896348281868,10
"cbr","19 Day","New","cbr_New_19 Day","PE p","1",0.0737658721765305,0.00711316447445743,10
"cbr","19 Day","New","cbr_New_19 Day","PE p","X",0.224125827181491,0.00993023657167081,10
"cbr","19 Day","Old","cbr_Old_19 Day","PE p","0",0.711297100193144,0.00407379547304266,15
"cbr","19 Day","Old","cbr_Old_19 Day","PE p","1",0.0761499502063681,0.00470104131920404,15
"cbr","19 Day","Old","cbr_Old_19 Day","PE p","X",0.212552949600488,0.00651415291157102,15
"ct","1 Day","New","ct_New_1 Day","PE p","0",0.641753223131068,0.0025257149141971,15
"ct","1 Day","New","ct_New_1 Day","PE p","1",0.0627840365402946,0.00106982220018343,15
"ct","1 Day","New","ct_New_1 Day","PE p","X",0.295462740328638,0.00302610184933633,15
"ct","1 Day","Old","ct_Old_1 Day","PE p","0",0.653662090735944,0.00373228935157172,17
"ct","1 Day","Old","ct_Old_1 Day","PE p","1",0.0628588279397404,0.00129620925604382,17
"ct","1 Day","Old","ct_Old_1 Day","PE p","X",0.283479081324315,0.00408083085082586,17
"ct","19 Day","New","ct_New_19 Day","PE p","0",0.726232464581208,0.00992820672053389,13
"ct","19 Day","New","ct_New_19 Day","PE p","1",0.0723334806344477,0.00285322572052976,13
"ct","19 Day","New","ct_New_19 Day","PE p","X",0.201434054784344,0.0111532189786764,13
"ct","19 Day","Old","ct_Old_19 Day","PE p","0",0.724855797117093,0.00402117563562166,16
"ct","19 Day","Old","ct_Old_19 Day","PE p","1",0.0786493532127585,0.00389825248009971,16
"ct","19 Day","Old","ct_Old_19 Day","PE p","X",0.196494849670148,0.00511120415288031,16
"s06","1 Day","Older","s06_Older_1 Day","PE p","0",0.650320387038131,0.00385073745069219,16
"s06","1 Day","Older","s06_Older_1 Day","PE p","1",0.0643692430698124,0.00135657582440832,16
"s06","1 Day","Older","s06_Older_1 Day","PE p","X",0.285310369892056,0.00452705525330559,16
"s06","19 Day","Older","s06_Older_19 Day","PE p","0",0.725949349574502,0.00331878498733564,16
"s06","19 Day","Older","s06_Older_19 Day","PE p","1",0.0693201546647969,0.00184122594873743,16
"s06","19 Day","Older","s06_Older_19 Day","PE p","X",0.204730495760701,0.00445050786381084,16
"syd","1 Day","New","syd_New_1 Day","PE p","0",0.65062462956911,0.00721368135545922,13
"syd","1 Day","New","syd_New_1 Day","PE p","1",0.0670390648715295,0.00190874972725362,13
"syd","1 Day","New","syd_New_1 Day","PE p","X",0.282336305559361,0.00771816482270737,13
"syd","1 Day","Old","syd_Old_1 Day","PE p","0",0.649731620040189,0.00392003972193862,18
"syd","1 Day","Old","syd_Old_1 Day","PE p","1",0.0648243345119342,0.0019422977978498,18
"syd","1 Day","Old","syd_Old_1 Day","PE p","X",0.285444045447877,0.0043745733641911,18
"syd","19 Day","New","syd_New_19 Day","PE p","0",0.719795377793017,0.00293633869735302,16
"syd","19 Day","New","syd_New_19 Day","PE p","1",0.0716889442988108,0.0035814182287313,16
"syd","19 Day","New","syd_New_19 Day","PE p","X",0.208515677908172,0.00582625904765792,16
"syd","19 Day","Old","syd_Old_19 Day","PE p","0",0.724694189407164,0.00271752983406382,15
"syd","19 Day","Old","syd_Old_19 Day","PE p","1",0.0769722007839527,0.00316568260027542,15
