"Line","Age","Time","LineTimeAge","SubClass","AcylClass","MEAN","SE","n"
"cbr","1 Day","New","cbr_New_1 Day","TG","L0",0.0433984788139279,0.00701188026615509,11
"cbr","1 Day","New","cbr_New_1 Day","TG","L1",0.00241648795386234,0.000310808559722221,11
"cbr","1 Day","New","cbr_New_1 Day","TG","LX",0.0128637340787215,0.00303125024875721,11
"cbr","1 Day","New","cbr_New_1 Day","TG","M0",0.307203228492605,0.0135647718936721,11
"cbr","1 Day","New","cbr_New_1 Day","TG","M1",0.34234963872811,0.0167504470911371,11
"cbr","1 Day","New","cbr_New_1 Day","TG","MX",0.127858041175684,0.0120862457197128,11
"cbr","1 Day","New","cbr_New_1 Day","TG","S0",0.0529642555963274,0.00458023318262261,11
"cbr","1 Day","New","cbr_New_1 Day","TG","S1",0.030457226706196,0.00470384665344208,11
"cbr","1 Day","New","cbr_New_1 Day","TG","SX",0.0804889084545661,0.012754839903112,11
"cbr","1 Day","Old","cbr_Old_1 Day","TG","L0",0.0287006249858919,0.00212696657176573,18
"cbr","1 Day","Old","cbr_Old_1 Day","TG","L1",0.00176371644302032,9.98709020849742e-05,18
"cbr","1 Day","Old","cbr_Old_1 Day","TG","LX",0.00914235788784069,0.00159825627303798,18
"cbr","1 Day","Old","cbr_Old_1 Day","TG","M0",0.332856183692196,0.0113409715640891,18
"cbr","1 Day","Old","cbr_Old_1 Day","TG","M1",0.354500675031644,0.0101279945347199,18
"cbr","1 Day","Old","cbr_Old_1 Day","TG","MX",0.111190615338902,0.0128124864927716,18
"cbr","1 Day","Old","cbr_Old_1 Day","TG","S0",0.0636044097102231,0.00506420577441021,18
"cbr","1 Day","Old","cbr_Old_1 Day","TG","S1",0.025494230240481,0.00179025377035489,18
"cbr","1 Day","Old","cbr_Old_1 Day","TG","SX",0.0727471866698008,0.00822983692084296,18
"cbr","19 Day","New","cbr_New_19 Day","TG","L0",0.031833257005274,0.0118903580261725,10
"cbr","19 Day","New","cbr_New_19 Day","TG","L1",0.00386102524952493,0.000846811129859744,10
"cbr","19 Day","New","cbr_New_19 Day","TG","LX",0.001455783805295,0.000681476095611974,10
"cbr","19 Day","New","cbr_New_19 Day","TG","M0",0.42216633395816,0.0199695474873072,10
"cbr","19 Day","New","cbr_New_19 Day","TG","M1",0.363652916714049,0.022626623299638,10
"cbr","19 Day","New","cbr_New_19 Day","TG","MX",0.100504194019997,0.0158320168465283,10
"cbr","19 Day","New","cbr_New_19 Day","TG","S0",0.0642909743424685,0.00728359867113219,10
"cbr","19 Day","New","cbr_New_19 Day","TG","S1",0.00391865633899726,0.000602306384479183,10
"cbr","19 Day","New","cbr_New_19 Day","TG","SX",0.00831685856623387,0.00332909745749681,10
"cbr","19 Day","Old","cbr_Old_19 Day","TG","L0",0.0192119335817692,0.00301600805935031,15
"cbr","19 Day","Old","cbr_Old_19 Day","TG","L1",0.00286912585022042,0.000357733784577394,15
"cbr","19 Day","Old","cbr_Old_19 Day","TG","LX",0.00117772053094914,0.00016274738928369,15
"cbr","19 Day","Old","cbr_Old_19 Day","TG","M0",0.417760328186523,0.0123040942355259,15
"cbr","19 Day","Old","cbr_Old_19 Day","TG","M1",0.385599845298819,0.014495151136384,15
"cbr","19 Day","Old","cbr_Old_19 Day","TG","MX",0.0887212636576616,0.00852622935717029,15
"cbr","19 Day","Old","cbr_Old_19 Day","TG","S0",0.0746281912281112,0.00717529175966105,15
"cbr","19 Day","Old","cbr_Old_19 Day","TG","S1",0.00456769147252619,0.000556628465387535,15
"cbr","19 Day","Old","cbr_Old_19 Day","TG","SX",0.00546390019342074,0.00103314333712886,15
"ct","1 Day","New","ct_New_1 Day","TG","L0",0.0359631690234457,0.00686035150395334,15
"ct","1 Day","New","ct_New_1 Day","TG","L1",0.00224549211957018,0.000141939641592633,15
"ct","1 Day","New","ct_New_1 Day","TG","LX",0.00895128515848027,0.00190724667812956,15
"ct","1 Day","New","ct_New_1 Day","TG","M0",0.344801730087839,0.0129296180316442,15
"ct","1 Day","New","ct_New_1 Day","TG","M1",0.326970684951146,0.0122911717847626,15
"ct","1 Day","New","ct_New_1 Day","TG","MX",0.148172219592602,0.0099609094646999,15
"ct","1 Day","New","ct_New_1 Day","TG","S0",0.0491120679162131,0.00198494100959162,15
"ct","1 Day","New","ct_New_1 Day","TG","S1",0.0231969381760721,0.00270659943594937,15
"ct","1 Day","New","ct_New_1 Day","TG","SX",0.0605864129746322,0.00776632172582463,15
"ct","1 Day","Old","ct_Old_1 Day","TG","L0",0.0423041637641604,0.00358723743776642,17
"ct","1 Day","Old","ct_Old_1 Day","TG","L1",0.00307451127569077,0.000322867462717934,17
"ct","1 Day","Old","ct_Old_1 Day","TG","LX",0.00791415187189649,0.00113484770509782,17
"ct","1 Day","Old","ct_Old_1 Day","TG","M0",0.324530111626606,0.0106028868375402,17
"ct","1 Day","Old","ct_Old_1 Day","TG","M1",0.360230807601933,0.0182724816128576,17
"ct","1 Day","Old","ct_Old_1 Day","TG","MX",0.122637433441116,0.00905450166301623,17
"ct","1 Day","Old","ct_Old_1 Day","TG","S0",0.0522707340220915,0.00516826370033827,17
"ct","1 Day","Old","ct_Old_1 Day","TG","S1",0.0269423738495903,0.00207216699301421,17
"ct","1 Day","Old","ct_Old_1 Day","TG","SX",0.0600957125469161,0.0050704502355295,17
"ct","19 Day","New","ct_New_19 Day","TG","L0",0.0197548746082428,0.00219373707049005,13
"ct","19 Day","New","ct_New_19 Day","TG","L1",0.0032261641223544,0.0006585211642517,13
"ct","19 Day","New","ct_New_19 Day","TG","LX",0.00131799733441019,0.000236345002562857,13
"ct","19 Day","New","ct_New_19 Day","TG","M0",0.413445833003479,0.0224871649205208,13
"ct","19 Day","New","ct_New_19 Day","TG","M1",0.38740292228474,0.0228930216819676,13
"ct","19 Day","New","ct_New_19 Day","TG","MX",0.0854620613717741,0.00902017816608984,13
"ct","19 Day","New","ct_New_19 Day","TG","S0",0.0796517851279927,0.0124077444987341,13
"ct","19 Day","New","ct_New_19 Day","TG","S1",0.0053411189258465,0.000864469071219227,13
"ct","19 Day","New","ct_New_19 Day","TG","SX",0.00439724322115979,0.000633504407138234,13
"ct","19 Day","Old","ct_Old_19 Day","TG","L0",0.0176609881785307,0.00206621731670759,16
"ct","19 Day","Old","ct_Old_19 Day","TG","L1",0.00393967392048267,0.000639015043728454,16
"ct","19 Day","Old","ct_Old_19 Day","TG","LX",0.00100734993444566,0.000185885992026047,16
"ct","19 Day","Old","ct_Old_19 Day","TG","M0",0.427248515410398,0.00976612782351601,16
"ct","19 Day","Old","ct_Old_19 Day","TG","M1",0.382695758881568,0.0138477299924297,16
"ct","19 Day","Old","ct_Old_19 Day","TG","MX",0.0897806395128872,0.0125478431023861,16
"ct","19 Day","Old","ct_Old_19 Day","TG","S0",0.0697479052457514,0.00536205905804403,16
"ct","19 Day","Old","ct_Old_19 Day","TG","S1",0.00397046944407926,0.000477060238470617,16
"ct","19 Day","Old","ct_Old_19 Day","TG","SX",0.00394869947185686,0.00047081045288621,16
"s06","1 Day","Older","s06_Older_1 Day","TG","L0",0.0381915983717496,0.00513008142159081,16
