"Line","Age","Time","LineTimeAge","SubClass","AcylClass","MEAN","SE","n"
"cbr","1 Day","New","cbr_New_1 Day","PE p","L0",0.147406307441801,0.0046028059410345,11
"cbr","1 Day","New","cbr_New_1 Day","PE p","LX",0.229384074704235,0.00817079050817337,11
"cbr","1 Day","New","cbr_New_1 Day","PE p","M0",0.123209617853963,0.00586484653369126,11
"cbr","1 Day","New","cbr_New_1 Day","PE p","M1",0.0671003798275867,0.00224185441815127,11
"cbr","1 Day","New","cbr_New_1 Day","PE p","MX",0.0561092380263768,0.00447950185873841,11
"cbr","1 Day","New","cbr_New_1 Day","PE p","S0",0.376790382146037,0.00586484653369126,11
"cbr","1 Day","Old","cbr_Old_1 Day","PE p","L0",0.14724264221346,0.00399521283654794,18
"cbr","1 Day","Old","cbr_Old_1 Day","PE p","LX",0.227233229555642,0.00586244197593125,18
"cbr","1 Day","Old","cbr_Old_1 Day","PE p","M0",0.125524128230898,0.00434981680883678,18
"cbr","1 Day","Old","cbr_Old_1 Day","PE p","M1",0.0704460632484462,0.00166591049707462,18
"cbr","1 Day","Old","cbr_Old_1 Day","PE p","MX",0.0550780649824522,0.00386005007233544,18
"cbr","1 Day","Old","cbr_Old_1 Day","PE p","S0",0.374475871769102,0.00434981680883678,18
"cbr","19 Day","New","cbr_New_19 Day","PE p","L0",0.202108300641978,0.00843896348281868,10
"cbr","19 Day","New","cbr_New_19 Day","PE p","LX",0.202062178762713,0.0103094636425299,10
"cbr","19 Day","New","cbr_New_19 Day","PE p","M0",0.0958295205953084,0.00948582843359376,10
"cbr","19 Day","New","cbr_New_19 Day","PE p","M1",0.0737658721765305,0.00711316447445743,10
"cbr","19 Day","New","cbr_New_19 Day","PE p","MX",0.0220636484187779,0.00324809858674087,10
"cbr","19 Day","New","cbr_New_19 Day","PE p","S0",0.404170479404692,0.00948582843359376,10
"cbr","19 Day","Old","cbr_Old_19 Day","PE p","L0",0.211297100193144,0.00407379547304267,15
"cbr","19 Day","Old","cbr_Old_19 Day","PE p","LX",0.190776793875252,0.00658714053294105,15
"cbr","19 Day","Old","cbr_Old_19 Day","PE p","M0",0.0979261059316035,0.00508332005217453,15
"cbr","19 Day","Old","cbr_Old_19 Day","PE p","M1",0.0761499502063681,0.00470104131920404,15
"cbr","19 Day","Old","cbr_Old_19 Day","PE p","MX",0.0217761557252354,0.00148783862078048,15
"cbr","19 Day","Old","cbr_Old_19 Day","PE p","S0",0.402073894068396,0.00508332005217453,15
"ct","1 Day","New","ct_New_1 Day","PE p","L0",0.141753223131068,0.0025257149141971,15
"ct","1 Day","New","ct_New_1 Day","PE p","LX",0.244356216085747,0.00380547802448293,15
"ct","1 Day","New","ct_New_1 Day","PE p","M0",0.113890560783185,0.00263609183660554,15
"ct","1 Day","New","ct_New_1 Day","PE p","M1",0.0627840365402946,0.00106982220018343,15
"ct","1 Day","New","ct_New_1 Day","PE p","MX",0.0511065242428909,0.00276556435799715,15
"ct","1 Day","New","ct_New_1 Day","PE p","S0",0.386109439216815,0.00263609183660554,15
"ct","1 Day","Old","ct_Old_1 Day","PE p","L0",0.153662090735944,0.00373228935157172,17
"ct","1 Day","Old","ct_Old_1 Day","PE p","LX",0.233809830817896,0.0060198543871193,17
"ct","1 Day","Old","ct_Old_1 Day","PE p","M0",0.112528078446159,0.0043181047358412,17
"ct","1 Day","Old","ct_Old_1 Day","PE p","M1",0.0628588279397404,0.00129620925604382,17
"ct","1 Day","Old","ct_Old_1 Day","PE p","MX",0.0496692505064188,0.00346172166435863,17
"ct","1 Day","Old","ct_Old_1 Day","PE p","S0",0.387471921553841,0.0043181047358412,17
"ct","19 Day","New","ct_New_19 Day","PE p","L0",0.226232464581208,0.00992820672053388,13
"ct","19 Day","New","ct_New_19 Day","PE p","LX",0.18364304865394,0.0101063788814282,13
"ct","19 Day","New","ct_New_19 Day","PE p","M0",0.0901244867648521,0.00287167874889008,13
"ct","19 Day","New","ct_New_19 Day","PE p","M1",0.0723334806344477,0.00285322572052976,13
"ct","19 Day","New","ct_New_19 Day","PE p","MX",0.0177910061304044,0.00122058755010927,13
"ct","19 Day","New","ct_New_19 Day","PE p","S0",0.409875513235148,0.00287167874889009,13
"ct","19 Day","Old","ct_Old_19 Day","PE p","L0",0.224855797117093,0.00402117563562166,16
"ct","19 Day","Old","ct_Old_19 Day","PE p","LX",0.179778233972335,0.00476941157195564,16
"ct","19 Day","Old","ct_Old_19 Day","PE p","M0",0.0953659689105711,0.00395646822937351,16
"ct","19 Day","Old","ct_Old_19 Day","PE p","M1",0.0786493532127585,0.00389825248009971,16
"ct","19 Day","Old","ct_Old_19 Day","PE p","MX",0.0167166156978126,0.000675794038813772,16
"ct","19 Day","Old","ct_Old_19 Day","PE p","S0",0.404634031089429,0.00395646822937351,16
"s06","1 Day","Older","s06_Older_1 Day","PE p","L0",0.150320387038131,0.00385073745069218,16
"s06","1 Day","Older","s06_Older_1 Day","PE p","LX",0.226331448453458,0.00474833093284507,16
"s06","1 Day","Older","s06_Older_1 Day","PE p","M0",0.123348164508411,0.00380466033275144,16
"s06","1 Day","Older","s06_Older_1 Day","PE p","M1",0.0643692430698124,0.00135657582440832,16
"s06","1 Day","Older","s06_Older_1 Day","PE p","MX",0.0589789214385983,0.00397139016896938,16
"s06","1 Day","Older","s06_Older_1 Day","PE p","S0",0.376651835491589,0.00380466033275144,16
"s06","19 Day","Older","s06_Older_19 Day","PE p","L0",0.225949349574502,0.00331878498733564,16
"s06","19 Day","Older","s06_Older_19 Day","PE p","LX",0.187335235121729,0.00429745386788278,16
"s06","19 Day","Older","s06_Older_19 Day","PE p","M0",0.0867154153037683,0.00182282624491418,16
"s06","19 Day","Older","s06_Older_19 Day","PE p","M1",0.0693201546647969,0.00184122594873743,16
"s06","19 Day","Older","s06_Older_19 Day","PE p","MX",0.0173952606389715,0.000531085600838995,16
"s06","19 Day","Older","s06_Older_19 Day","PE p","S0",0.413284584696232,0.00182282624491418,16
"syd","1 Day","New","syd_New_1 Day","PE p","L0",0.15062462956911,0.00721368135545922,13
"syd","1 Day","New","syd_New_1 Day","PE p","LX",0.227592373415738,0.0080655211162333,13
"syd","1 Day","New","syd_New_1 Day","PE p","M0",0.121782997015153,0.00411323363455814,13
"syd","1 Day","New","syd_New_1 Day","PE p","M1",0.0670390648715295,0.00190874972725362,13
"syd","1 Day","New","syd_New_1 Day","PE p","MX",0.0547439321436233,0.00355716912357981,13
"syd","1 Day","New","syd_New_1 Day","PE p","S0",0.378217002984847,0.00411323363455814,13
"syd","1 Day","Old","syd_Old_1 Day","PE p","L0",0.149731620040189,0.00392003972193862,18
"syd","1 Day","Old","syd_Old_1 Day","PE p","LX",0.233545388851713,0.00592150009645995,18
"syd","1 Day","Old","syd_Old_1 Day","PE p","M0",0.116722991108098,0.00403047254056022,18
"syd","1 Day","Old","syd_Old_1 Day","PE p","M1",0.0648243345119342,0.0019422977978498,18
"syd","1 Day","Old","syd_Old_1 Day","PE p","MX",0.0518986565961642,0.0033222382108021,18
"syd","1 Day","Old","syd_Old_1 Day","PE p","S0",0.383277008891902,0.00403047254056022,18
"syd","19 Day","New","syd_New_19 Day","PE p","L0",0.219795377793017,0.00293633869735302,16
"syd","19 Day","New","syd_New_19 Day","PE p","LX",0.189851134854565,0.00543037875977334,16
"syd","19 Day","New","syd_New_19 Day","PE p","M0",0.0903534873524179,0.00334557496344091,16
"syd","19 Day","New","syd_New_19 Day","PE p","M1",0.0716889442988108,0.0035814182287313,16
"syd","19 Day","New","syd_New_19 Day","PE p","MX",0.0186645430536071,0.000720094013060395,16
"syd","19 Day","New","syd_New_19 Day","PE p","S0",0.409646512647582,0.00334557496344091,16
"syd","19 Day","Old","syd_Old_19 Day","PE p","L0",0.224694189407164,0.00271752983406382,15
"syd","19 Day","Old","syd_Old_19 Day","PE p","LX",0.180199561677229,0.00331252040823517,15
"syd","19 Day","Old","syd_Old_19 Day","PE p","M0",0.0951062489156071,0.00320556532546485,15
