"Line","Age","Time","LineTimeAge","SubClass","AcylClass","MEAN","SE","n"
"cbr","1 Day","New","cbr_New_1 Day","PE p","L",0.376790382146037,0.00586484653369126,11
"cbr","1 Day","New","cbr_New_1 Day","PE p","M",0.246419235707927,0.0117296930673825,11
"cbr","1 Day","New","cbr_New_1 Day","PE p","S",0.376790382146037,0.00586484653369126,11
"cbr","1 Day","Old","cbr_Old_1 Day","PE p","L",0.374475871769102,0.00434981680883679,18
"cbr","1 Day","Old","cbr_Old_1 Day","PE p","M",0.251048256461797,0.00869963361767357,18
"cbr","1 Day","Old","cbr_Old_1 Day","PE p","S",0.374475871769102,0.00434981680883679,18
"cbr","19 Day","New","cbr_New_19 Day","PE p","L",0.404170479404692,0.00948582843359376,10
"cbr","19 Day","New","cbr_New_19 Day","PE p","M",0.191659041190617,0.0189716568671875,10
"cbr","19 Day","New","cbr_New_19 Day","PE p","S",0.404170479404692,0.00948582843359376,10
"cbr","19 Day","Old","cbr_Old_19 Day","PE p","L",0.402073894068396,0.00508332005217453,15
"cbr","19 Day","Old","cbr_Old_19 Day","PE p","M",0.195852211863207,0.0101666401043491,15
"cbr","19 Day","Old","cbr_Old_19 Day","PE p","S",0.402073894068396,0.00508332005217453,15
"ct","1 Day","New","ct_New_1 Day","PE p","L",0.386109439216815,0.00263609183660554,15
"ct","1 Day","New","ct_New_1 Day","PE p","M",0.227781121566371,0.00527218367321108,15
"ct","1 Day","New","ct_New_1 Day","PE p","S",0.386109439216815,0.00263609183660554,15
"ct","1 Day","Old","ct_Old_1 Day","PE p","L",0.387471921553841,0.0043181047358412,17
"ct","1 Day","Old","ct_Old_1 Day","PE p","M",0.225056156892318,0.00863620947168239,17
"ct","1 Day","Old","ct_Old_1 Day","PE p","S",0.387471921553841,0.0043181047358412,17
"ct","19 Day","New","ct_New_19 Day","PE p","L",0.409875513235148,0.00287167874889008,13
"ct","19 Day","New","ct_New_19 Day","PE p","M",0.180248973529704,0.00574335749778017,13
"ct","19 Day","New","ct_New_19 Day","PE p","S",0.409875513235148,0.00287167874889008,13
"ct","19 Day","Old","ct_Old_19 Day","PE p","L",0.404634031089429,0.00395646822937351,16
"ct","19 Day","Old","ct_Old_19 Day","PE p","M",0.190731937821142,0.00791293645874703,16
"ct","19 Day","Old","ct_Old_19 Day","PE p","S",0.404634031089429,0.00395646822937351,16
"s06","1 Day","Older","s06_Older_1 Day","PE p","L",0.376651835491589,0.00380466033275144,16
"s06","1 Day","Older","s06_Older_1 Day","PE p","M",0.246696329016821,0.00760932066550289,16
"s06","1 Day","Older","s06_Older_1 Day","PE p","S",0.376651835491589,0.00380466033275144,16
"s06","19 Day","Older","s06_Older_19 Day","PE p","L",0.413284584696232,0.00182282624491418,16
"s06","19 Day","Older","s06_Older_19 Day","PE p","M",0.173430830607537,0.00364565248982836,16
"s06","19 Day","Older","s06_Older_19 Day","PE p","S",0.413284584696232,0.00182282624491418,16
"syd","1 Day","New","syd_New_1 Day","PE p","L",0.378217002984847,0.00411323363455814,13
"syd","1 Day","New","syd_New_1 Day","PE p","M",0.243565994030305,0.00822646726911628,13
"syd","1 Day","New","syd_New_1 Day","PE p","S",0.378217002984847,0.00411323363455814,13
"syd","1 Day","Old","syd_Old_1 Day","PE p","L",0.383277008891902,0.00403047254056022,18
"syd","1 Day","Old","syd_Old_1 Day","PE p","M",0.233445982216197,0.00806094508112044,18
"syd","1 Day","Old","syd_Old_1 Day","PE p","S",0.383277008891902,0.00403047254056022,18
"syd","19 Day","New","syd_New_19 Day","PE p","L",0.409646512647582,0.00334557496344091,16
"syd","19 Day","New","syd_New_19 Day","PE p","M",0.180706974704836,0.00669114992688183,16
"syd","19 Day","New","syd_New_19 Day","PE p","S",0.409646512647582,0.00334557496344091,16
"syd","19 Day","Old","syd_Old_19 Day","PE p","L",0.404893751084393,0.00320556532546485,15
"syd","19 Day","Old","syd_Old_19 Day","PE p","M",0.190212497831214,0.00641113065092971,15
"syd","19 Day","Old","syd_Old_19 Day","PE p","S",0.404893751084393,0.00320556532546485,15
"cbr","1 Day","New","cbr_New_1 Day","PE e","L",0.460966037730648,0.0027251387872759,11
"cbr","1 Day","New","cbr_New_1 Day","PE e","M",0.30511464221685,0.00556100118927002,11
"cbr","1 Day","New","cbr_New_1 Day","PE e","S",0.233919320052502,0.00682147669532959,11
"cbr","1 Day","Old","cbr_Old_1 Day","PE e","L",0.464555246402568,0.00136824948507373,18
"cbr","1 Day","Old","cbr_Old_1 Day","PE e","M",0.284792519109011,0.00398864987080416,18
"cbr","1 Day","Old","cbr_Old_1 Day","PE e","S",0.250652234488421,0.00382819476167151,18
"cbr","19 Day","New","cbr_New_19 Day","PE e","L",0.388641263301938,0.0109441554514657,10
"cbr","19 Day","New","cbr_New_19 Day","PE e","M",0.421192365757177,0.022730794573444,10
"cbr","19 Day","New","cbr_New_19 Day","PE e","S",0.190166370940885,0.0126944269767723,10
"cbr","19 Day","Old","cbr_Old_19 Day","PE e","L",0.386516199837062,0.00508811417350125,15
"cbr","19 Day","Old","cbr_Old_19 Day","PE e","M",0.431368155655906,0.0106499319972829,15
"cbr","19 Day","Old","cbr_Old_19 Day","PE e","S",0.182115644507032,0.00739720979786724,15
"ct","1 Day","New","ct_New_1 Day","PE e","L",0.466924814161412,0.00121113791838421,15
"ct","1 Day","New","ct_New_1 Day","PE e","M",0.290506976480448,0.00461711377392699,15
"ct","1 Day","New","ct_New_1 Day","PE e","S",0.24256820935814,0.00459499199120174,15
"ct","1 Day","Old","ct_Old_1 Day","PE e","L",0.46949990813472,0.00245865978324417,17
"ct","1 Day","Old","ct_Old_1 Day","PE e","M",0.278243539821949,0.00618787645900021,17
"ct","1 Day","Old","ct_Old_1 Day","PE e","S",0.252256552043331,0.00463415333693344,17
"ct","19 Day","New","ct_New_19 Day","PE e","L",0.387413123607564,0.0051591372532992,13
"ct","19 Day","New","ct_New_19 Day","PE e","M",0.435006437416043,0.0140983379315298,13
"ct","19 Day","New","ct_New_19 Day","PE e","S",0.177580438976393,0.0110280938541033,13
"ct","19 Day","Old","ct_Old_19 Day","PE e","L",0.378273226428239,0.00588468717509179,16
"ct","19 Day","Old","ct_Old_19 Day","PE e","M",0.443793725773901,0.0106353492639279,16
"ct","19 Day","Old","ct_Old_19 Day","PE e","S",0.17793304779786,0.00637568778928229,16
"s06","1 Day","Older","s06_Older_1 Day","PE e","L",0.467974403233517,0.00181461211208033,16
"s06","1 Day","Older","s06_Older_1 Day","PE e","M",0.283517801700491,0.00626393533884351,16
